tsebe	ts> E b E
phokotso	ph O k> O ts> O
dikgotlang	d i kx O tl> a N
paakanyetso	p> a k> a J E ts> O
gareng	x a r E N
kaelong	k> a E l O N
rarolola	r a r O l O l a
ikgatholositse	i kx a th O l O s i ts> E
tlhomelo	tlh O m E l O
phedisong	ph E d i s O N
dumelana	d u m E l a n a
ketefalela	k> E t> E f a l E l a
motsamai	m O ts> a m a i
dikgeleswa	d i kx E l E s w a
tlhabile	tlh a b i l E
dinotlele	d i n O tl> E l E
batlega	b a tl> E x a
refosanya	r E f O s a J a
tlhwatlhwatlase	tlh w a tlh w a tl> a s E
selekane	s E l E k> a n E
gole	x O l E
ntshwabise	n tsh w a b i s E
ntebane	n t> E b a n E
fetswa	f E ts> w a
mabokoso	m a b O k> O s O
gololosegileng	x O l O l O s E x i l E N
legoreng	l E x O r E N
mewa	m E w a
diphensele	d i ph E n s E l E
nosediwang	n O s E d i w a N
gotlhanang	x O tlh a n a N
dintšhwa	d i n tSh w a
tshetshereganong	tsh E tsh E r E x a n O N
dinama	d i n a m a
dimonamone	d i m O n a m O n E
dueletswe	d u E l E ts> w E
boikgapo	b O i kx a p> O
gagolo	x a x O l O
timile	t> i m i l E
pitikisa	p> i t> i k> i s a
gaisana	x a i s a n a
lotsenong	l O ts> E n O N
kgalemo	kx a l E m O
eta	E t> a
betlilwe	b E tl> i l w E
toropong	t> O r O p> O N
seiphemelo	s E i ph E m E l O
nkgogetse	n kx O x E ts> E
tlogile	tl> O x i l E
tlaleditsweng	tl> a l E d i ts> w E N
botlha	b O tlh a
koketso	k> O k> E ts> O
iphora	i ph O r a
poraefete	p> O r a E f E t> E
tshubetsweng	tsh u b E ts> w E N
mmayang	m m a j a N
etsang	E ts> a N
batoloki	b a t> O l O k> i
phegeletseng	ph E x E l E ts> E N
nkong	n k> O N
apereng	a p> E r E N
itetlileng	i t> E tl> i l E N
dikilometara	d i k> i l O m E t> a r a
jewa	d0Z E w a
batlhophiwa	b a tlh O ph i w a
itshwetse	i tsh w E ts> E
rebolwe	r E b O l w E
rotloetsega	r O tl> O E ts> E x a
kobong	k> O b O N
botsisa	b O ts> i s a
renke	r E n k> E
rutegile	r u t> E x i l E
marapong	m a r a p> O N
teta	t> E t> a
badirameepong	b a d i r a m E E p> O N
koporasi	k> O p> O r a s i
ntlhopheng	n tlh O ph E N
anamela	a n a m E l a
dikile	d i k> i l E
pelafalo	p> E l a f a l O
matshwao	m a tsh w a O
baleming	b a l E m i N
tlhamego	tlh a m E x O
ithoba	i th O b a
lefureng	l E f u r E N
tletsetletseng	tl> E ts> E tl> E ts> E N
sengwenyana	s E N w E J a n a
matshwafong	m a tsh w a f O N
gakalela	x a k> a l E l a
lebaka	l E b a k> a
sepelete	s E p> E l E t> E
kgatlhega	kx a tlh E x a
akhaonto	a kh a O n t> O
ntlheng	n tlh E N
motlhankedi	m O tlh a n k> E d i
tselanathokong	ts> E l a n a th O k> O N
bomabina	b O m a b i n a
tlhakwana	tlh a k> w a n a
kopeng	k> O p> E N
lebane	l E b a n E
tokafatsong	t> O k> a f a ts> O N
nonofa	n O n O f a
fologang	f O l O x a N
karalo	k> a r a l O
boele	b O E l E
mangena	m a N E n a
ipopa	i p> O p> a
teng	t> E N
khuti	kh u t> i
dithaetlele	d i th a E tl> E l E
fetolwe	f E t> O l w E
bosole	b O s O l E
matshwanedi	m a tsh w a n E d i
diipato	d i i p> a t> O
netefaletso	n E t> E f a l E ts> O
tlisetse	tl> i s E ts> E
atoloseng	a t> O l O s E N
ntlokgolo	n tl> O kx O l O
tsenelelang	ts> E n E l E l a N
mphenya	m ph E J a
lela	l E l a
dipotsotherisanong	d i p> O ts> O th E r i s a n O N
sevenda	s E b E n d a
laelwang	l a E l w a N
diporojekeng	d i p> O r O d0Z E k> E N
tshwarisana	tsh w a r i s a n a
refosa	r E f O s a
kgomarele	kx O m a r E l E
itire	i t> i r E
foloditse	f O l O d i ts> E
dikobe	d i k> O b E
palopotlana	p> a l O p> O tl> a n a
ikakanyetsa	i k> a k> a J E ts> a
mogogoro	m O x O x O r O
tshokologong	tsh O k> O l O x O N
kgonagetse	kx O n a x E ts> E
komelelo	k> O m E l E l O
kokotlela	k> O k> O tl> E l a
bileditsweng	b i l E d i ts> w E N
tlhase	tlh a s E
ramasedi	r a m a s E d i
konela	k> O n E l a
lehuba	l E h u b a
fetise	f E t> i s E
sedifatsa	s E d i f a ts> a
ribolotseng	r i b O l O ts> E N
berekelang	b E r E k> E l a N
tshegofatso	tsh E x O f a ts> O
nthobile	n th O b i l E
somareleng	s O m a r E l E N
dibata	d i b a t> a
matlotlong	m a tl> O tl> O N
kgobokanyo	kx O b O k> a J O
ntlhe	n tlh E
magorogo	m a x O r O x O
dikhupamarama	d i kh u p> a m a r a m a
malwetsi	m a l w E ts> i
moditona	m O d i t> O n a
ditshetsana	d i tsh E ts> a n a
kgone	kx O n E
ditshane	d i tsh a n E
boboatsatsi	b O b O a ts> a ts> i
ditsalo	d i ts> a l O
leswe	l E s w E
gadimane	x a d i m a n E
sotlwa	s O tl> w a
paakanyetsong	p> a k> a J E ts> O N
mmiding	m m i d i N
lekgethwana	l E kx E th w a n a
taunyane	t> a u J a n E
kokoantswe	k> O k> O a n ts> w E
tima	t> i m a
arotsweng	a r O ts> w E N
dikgetsaneng	d i kx E ts> a n E N
botennye	b O t> E n J E
diragatswa	d i r a x a ts> w a
lediri	l E d i r i
ketekiwa	k> E t> E k> i w a
dijalong	d i d0Z a l O N
lebilweng	l E b i l w E N
bothibo	b O th i b O
kutlwelo	k> u tl> w E l O
tsereganyo	ts> E r E x a J O
baobamedi	b a O b a m E d i
khutlise	kh u tl> i s E
lotsenonyana	l O ts> E n O J a n a
utulolang	u t> u l O l a N
mebotorokara	m E b O t> O r O k> a r a
moepo	m O E p> O
epa	E p> a
tshwaragantse	tsh w a r a x a n ts> E
thotho	th O th O
agilweng	a x i l w E N
tshelwe	tsh E l w E
busetsweng	b u s E ts> w E N
gwalala	x w a l a l a
kgeleke	kx E l E k> E
batshwarwa	b a tsh w a r w a
ditebelo	d i t> E b E l O
setlhangwa	s E tlh a N w a
foka	f O k> a
melawaneng	m E l a w a n E N
makima	m a k> i m a
kungo	k> u N O
taelong	t> a E l O N
neileng	n E i l E N
mmatsalaagwe	m m a ts> a l a x w E
loseeng	l O s E E N
kgobokane	kx O b O k> a n E
lethompo	l E th O m p> O
ganela	x a n E l a
porofešene	p> O r O f E S E n E
nniwang	n n i w a N
ditshokolo	d i tsh O k> O l O
kgapetla	kx a p> E tl> a
tsholediwa	tsh O l E d i w a
matlhotlho	m a tlh O tlh O
kgoto	kx O t> O
tswelediwang	ts> w E l E d i w a N
jelwe	d0Z E l w E
tshimololong	tsh i m O l O l O N
nyaya	J a j a
bontshwa	b O n tsh w a
ditilong	d i t> i l O N
laolesegeng	l a O l E s E x E N
gokagana	x O k> a x a n a
tlhomaganeng	tlh O m a x a n E N
busiwe	b u s i w E
latlhiwe	l a tlh i w E
rutwe	r u t> w E
apewang	a p> E w a N
apaapa	a p> a p> a
ntsheditsweng	n tsh E d i ts> w E N
isitsweng	i s i ts> w E N
itshepang	i tsh E p> a N
menwana	m E n w a n a
tlhabise	tlh a b i s E
kokoanyong	k> O k> O a J O N
rarabololwe	r a r a b O l O l w E
makatsa	m a k> a ts> a
ipaakanyeditsweng	i p> a k> a J E d i ts> w E N
mathulwe	m a th u l w E
oleng	O l E N
gadikilwe	x a d i k> i l w E
dikelotefo	d i k> E l O t> E f O
ithuto	i th u t> O
sutisang	s u t> i s a N
phophomo	ph O ph O m O
ota	O t> a
lwala	l w a l a
etelwang	E t> E l w a N
lerole	l E r O l E
kgethisa	kx E th i s a
abilweng	a b i l w E N
metheo	m E th E O
ragosa	r a x O s a
emela	E m E l a
tsiboge	ts> i b O x E
ditokololong	d i t> O k> O l O l O N
begwe	b E x w E
batliwa	b a tl> i w a
thankga	th a n kx a
phatsimo	ph a ts> i m O
tlalatlala	tl> a l a tl> a l a
gaetsho	x a E tsh O
ikopela	i k> O p> E l a
ditempe	d i t> E m p> E
ditonakgolo	d i t> O n a kx O l O
moporofesara	m O p> O r O f E s a r a
tsholetseng	tsh O l E ts> E N
mentsi	m E n ts> i
kobamelong	k> O b a m E l O N
pirigana	p> i r i x a n a
tshwantshanye	tsh w a n tsh a J E
ditshele	d i tsh E l E
dipolasa	d i p> O l a s a
ithutla	i th u tl> a
romelelwa	r O m E l E l w a
reboletse	r E b O l E ts> E
moleming	m O l E m i N
bomaswe	b O m a s w E
phutholotsweng	ph u th O l O ts> w E N
ipopela	i p> O p> E l a
tolamong	t> O l a m O N
tshwaragane	tsh w a r a x a n E
kgorikgoring	kx O r i kx O r i N
setilweng	s E t> i l w E N
tswalele	ts> w a l E l E
ntseisa	n ts> E i s a
phitlhelo	ph i tlh E l O
monnye	m O n J E
kerafo	k> E r a f O
opafatsang	O p> a f a ts> a N
matlhareng	m a tlh a r E N
kemonokeng	k> E m O n O k> E N
nyeleleng	J E l E l E N
iso	i s O
tshwaetse	tsh w a E ts> E
lotlegela	l O tl> E x E l a
bonetsweng	b O n E ts> w E N
busediwang	b u s E d i w a N
tsengwa	ts> E N w a
butse	b u ts> E
dikoloi	d i k> O l O i
hemetsweng	h E m E ts> w E N
beelediwa	b E E l E d i w a
modumo	m O d u m O
tshwenyeng	tsh w E J E N
belaelwang	b E l a E l w a N
robetseng	r O b E ts> E N
rotloetsang	r O tl> O E ts> a N
tlowana	tl> O w a n a
theetso	th E E ts> O
lephateng	l E ph a t> E N
dikaelong	d i k> a E l O N
itsapeng	i ts> a p> E N
emelwe	E m E l w E
bagatisi	b a x a t> i s i
rileng	r i l E N
magatong	m a x a t> O N
fetogela	f E t> O x E l a
tshegofadiwa	tsh E x O f a d i w a
itshekatsheka	i tsh E k> a tsh E k> a
mokgotlhwane	m O kx O tlh w a n E
tlhomamisiwe	tlh O m a m i s i w E
balateding	b a l a t> E d i N
phokafala	ph O k> a f a l a
mogatso	m O x a ts> O
bogolothata	b O x O l O th a t> a
tlhangweng	tlh a N w E N
bareki	b a r E k> i
molelo	m O l E l O
tlhanasela	tlh a n a s E l a
phatlhatiro	ph a tlh a t> i r O
baesekele	b a E s E k> E l E
latlhegetseng	l a tlh E x E ts> E N
siamisang	s i a m i s a N
tota	t> O t> a
dikolosa	d i k> O l O s a
masela	m a s E l a
fisegelang	f i s E x E l a N
bommogo	b O m m O x O
tshwanelang	tsh w a n E l a N
laolwang	l a O l w a N
rekiseditsweng	r E k> i s E d i ts> w E N
tlhakatlhakana	tlh a k> a tlh a k> a n a
ditshela	d i tsh E l a
retolola	r E t> O l O l a
phepelotlase	ph E p> E l O tl> a s E
karong	k> a r O N
jeseng	d0Z E s E N
ikgapetseng	i kx a p> E ts> E N
tlele	tl> E l E
taboga	t> a b O x a
tlhatlhobilwe	tlh a tlh O b i l w E
tshabetse	tsh a b E ts> E
tsibogelwa	ts> i b O x E l w a
barotloetsi	b a r O tl> O E ts> i
motsweding	m O ts> w E d i N
bolesome	b O l E s O m E
tlhakanya	tlh a k> a J a
thupa	th u p> a
ikepetseng	i k> E p> E ts> E N
thantse	th a n ts> E
balekani	b a l E k> a n i
lekantshang	l E k> a n tsh a N
mebalabala	m E b a l a b a l a
tlhagisitsweng	tlh a x i s i ts> w E N
ipelang	i p> E l a N
magiseterata	m a x i s E t> E r a t> a
khutla	kh u tl> a
naeterojene	n a E t> E r O d0Z E n E
itsegeng	i ts> E x E N
didika	d i d i k> a
fora	f O r a
tatlhego	t> a tlh E x O
mekamekane	m E k> a m E k> a n E
sampoleng	s a m p> O l E N
thipa	th i p> a
kgoromeditse	kx O r O m E d i ts> E
notlelang	n O tl> E l a N
gotlhe	x O tlh E
oketsegileng	O k> E ts> E x i l E N
itsamaisang	i ts> a m a i s a N
moseneke	m O s E n E k> E
polaka	p> O l a k> a
itekanela	i t> E k> a n E l a
amiwa	a m i w a
dibopego	d i b O p> E x O
tšhanele	tSh a n E l E
lotlhakoreng	l O tlh a k> O r E N
nyaditse	J a d i ts> E
monyadiwa	m O J a d i w a
dithunthung	d i th u n th u N
senyegelwe	s E J E x E l w E
disitswe	d i s i ts> w E
ikateleng	i k> a t> E l E N
melelo	m E l E l O
kologano	k> O l O x a n O
ameng	a m E N
kgotlhetse	kx O tlh E ts> E
ditshwetsong	d i tsh w E ts> O N
phapogo	ph a p> O x O
somaretswe	s O m a r E ts> w E
teramakhutshwe	t> E r a m a kh u tsh w E
diragalelwa	d i r a x a l E l w a
phage	ph a x E
mmata	m m a t> a
ithuteng	i th u t> E N
bifetswe	b i f E ts> w E
mmaba	m m a b a
tsi	ts> i
tsalang	ts> a l a N
dikomitipotlana	d i k> O m i t> i p> O tl> a n a
gagamaditswe	x a x a m a d i ts> w E
mogatla	m O x a tl> a
baakanya	b a k> a J a
matsubutsubu	m a ts> u b u ts> u b u
itekanelo	i t> E k> a n E l O
itlhaotse	i tlh a O ts> E
siamololela	s i a m O l O l E l a
molapo	m O l a p> O
metsemagaeng	m E ts> E m a x a E N
rotola	r O t> O l a
mekgato	m E kx a t> O
mohuta	m O h u t> a
boikhutsong	b O i kh u ts> O N
batlelang	b a tl> E l a N
magorogelo	m a x O r O x E l O
peiping	p> E i p> i N
motsatsi	m O ts> a ts> i
thefosanong	th E f O s a n O N
tlhophang	tlh O ph a N
nako	n a k> O
molawana	m O l a w a n a
lepodisa	l E p> O d i s a
sediri	s E d i r i
phatsi	ph a ts> i
bomolaotheo	b O m O l a O th E O
ntekwane	n t> E k> w a n E
nawa	n a w a
bagaisani	b a x a i s a n i
turang	t> u r a N
kgokologang	kx O k> O l O x a N
menato	m E n a t> O
seretse	s E r E ts> E
falole	f a l O l E
tlametswe	tl> a m E ts> w E
pududu	p> u d u d u
phaphame	ph a ph a m E
serotong	s E r O t> O N
tlhomamisegeng	tlh O m a m i s E x E N
putlaganyang	p> u tl> a x a J a N
diphaneleng	d i ph a n E l E N
diphatlho	d i ph a tlh O
sebala	s E b a l a
moemanokeng	m O E m a n O k> E N
tlharaletse	tlh a r a l E ts> E
tlaila	tl> a i l a
ntire	n t> i r E
seesimaneng	s E E s i m a n E N
ikantse	i k> a n ts> E
komiti	k> O m i t> i
tlhakantse	tlh a k> a n ts> E
epololwa	E p> O l O l w a
goeleditsweng	x O E l E d i ts> w E N
rekileng	r E k> i l E N
fetilwe	f E t> i l w E
kgotlakgolong	kx O tl> a kx O l O N
tshwenyegele	tsh w E J E x E l E
maranyane	m a r a J a n E
lenaane	l E n a n E
jelweng	d0Z E l w E N
phimolang	ph i m O l a N
ngwagakgolo	N w a x a kx O l O
diaparong	d i a p> a r O N
melebo	m E l E b O
dikgaolotlhopho	d i kx a O l O tlh O ph O
fula	f u l a
setsholetsing	s E tsh O l E ts> i N
okediwang	O k> E d i w a N
laelang	l a E l a N
thatafaditse	th a t> a f a d i ts> E
maemedi	m a E m E d i
badiredipuso	b a d i r E d i p> u s O
masome	m a s O m E
bodiwa	b O d i w a
setimeleng	s E t> i m E l E N
supile	s u p> i l E
ila	i l a
letsomong	l E ts> O m O N
boditshabatshaba	b O d i tsh a b a tsh a b a
tlhomamisiwang	tlh O m a m i s i w a N
phafana	ph a f a n a
tswaletswe	ts> w a l E ts> w E
serai	s E r a i
lebalwe	l E b a l w E
maatlakgogedi	m a tl> a kx O x E d i
lateleng	l a t> E l E N
makgolo	m a kx O l O
boleng	b O l E N
etetseng	E t> E ts> E N
ditshekamelo	d i tsh E k> a m E l O
polantere	p> O l a n t> E r E
dingongorego	d i N O N O r E x O
nyadisiwa	J a d i s i w a
thuswa	th u s w a
thutiso	th u t> i s O
tlhogong	tlh O x O N
etegetsang	E t> E x E ts> a N
apeela	a p> E E l a
nametshang	n a m E tsh a N
tshwanna	tsh w a n n a
bipiwa	b i p> i w a
maikhutso	m a i kh u ts> O
boenjeneri	b O E n d0Z E n E r i
loileng	l O i l E N
fudusetsa	f u d u s E ts> a
ponyo	p> O J O
tsetsepela	ts> E ts> E p> E l a
tsholofelong	tsh O l O f E l O N
nnelang	n n E l a N
bokgopo	b O kx O p> O
faposiwa	f a p> O s i w a
gapiwa	x a p> i w a
matlhaodi	m a tlh a O d i
tsepamisitseng	ts> E p> a m i s i ts> E N
latlhiwa	l a tlh i w a
bofelela	b O f E l E l a
boša	b O S a
balwang	b a l w a N
tshwantshitsweng	tsh w a n tsh i ts> w E N
rekotiwa	r E k> O t> i w a
dikgaogano	d i kx a O x a n O
ditshoutisong	d i tsh O u t> i s O N
bokau	b O k> a u
kgomile	kx O m i l E
mmaagwe	m m a x w E
kemedi	k> E m E d i
duelele	d u E l E l E
reetse	r E E ts> E
ditshitshinyo	d i tsh i tsh i J O
maiteko	m a i t> E k> O
tlolwang	tl> O l w a N
dintshi	d i n tsh i
ikwatlhaela	i k> w a tlh a E l a
theiwa	th E i w a
itlhaganetse	i tlh a x a n E ts> E
tshosiwa	tsh O s i w a
kokota	k> O k> O t> a
tumelelanong	t> u m E l E l a n O N
gopolwa	x O p> O l w a
molokololo	m O l O k> O l O l O
botlhokatsebe	b O tlh O k> a ts> E b E
sekokoro	s E k> O k> O r O
fenye	f E J E
teo	t> E O
setlhophana	s E tlh O ph a n a
bopi	b O p> i
thomelelo	th O m E l E l O
tlhabega	tlh a b E x a
itlhaolela	i tlh a O l E l a
baagisani	b a x i s a n i
kgaoganyang	kx a O x a J a N
tlhometswe	tlh O m E ts> w E
borogong	b O r O x O N
mosarasarane	m O s a r a s a r a n E
kopele	k> O p> E l E
kgata	kx a t> a
thaere	th a E r E
losikeng	l O s i k> E N
tshimologong	tsh i m O l O x O N
konosetsa	k> O n O s E ts> a
sebopiwa	s E b O p> i w a
mantsintsi	m a n ts> i n ts> i
botokanyana	b O t> O k> a J a n a
tlhakatlhakantse	tlh a k> a tlh a k> a n ts> E
tshwaraganelwa	tsh w a r a x a n E l w a
taolelo	t> a O l E l O
simololang	s i m O l O l a N
tlisiwa	tl> i s i w a
lolamise	l O l a m i s E
atlenegisang	a tl> E n E x i s a N
jega	d0Z E x a
kgobokanya	kx O b O k> a J a
batlisiswa	b a tl> i s i s w a
ritela	r i t> E l a
jeso	d0Z E s O
marumo	m a r u m O
kgonweng	kx O n w E N
botlhokwa	b O tlh O k> w a
bope	b O p> E
tshwaraganelang	tsh w a r a x a n E l a N
kgobedung	kx O b E d u N
tshwanelegang	tsh w a n E l E x a N
henahena	h E n a h E n a
moraka	m O r a k> a
tsheko	tsh E k> O
boleta	b O l E t> a
ayodine	a j O d i n E
dikamogelo	d i k> a m O x E l O
joo	d0Z O O
thatanong	th a t> a n O N
lapileng	l a p> i l E N
manokonoko	m a n O k> O n O k> O
ntlwaneng	n tl> w a n E N
magalapa	m a x a l a p> a
moswi	m O s w i
bankeng	b a n k> E N
marang	m a r a N
tomameng	t> O m a m E N
duelelwe	d u E l E l w E
gopa	x O p> a
tshaba	tsh a b a
etele	E t> E l E
tshelo	tsh E l O
nitameng	n i t> a m E N
motala	m O t> a l a
dirana	d i r a n a
kobamelo	k> O b a m E l O
apeega	a p> E E x a
fatseng	f a ts> E N
dipuso	d i p> u s O
palelweng	p> a l E l w E N
tlhophetseng	tlh O ph E ts> E N
mothonyana	m O th O J a n a
thibano	th i b a n O
leboga	l E b O x a
ganediwa	x a n E d i w a
boitshoko	b O i tsh O k> O
bekeng	b E k> E N
popotlo	p> O p> O tl> O
dirisanya	d i r i s a J a
dithunya	d i th u J a
diragaditsweng	d i r a x a d i ts> w E N
dimmaele	d i m m a E l E
tshwantshiwa	tsh w a n tsh i w a
thebela	th E b E l a
babuadipuo	b a b u a d i p> u O
ditshekeletsa	d i tsh E k> E l E ts> a
sešabo	s E S a b O
kgaogana	kx a O x a n a
maaka	m a k> a
tu	t> u
boitshwaro	b O i tsh w a r O
rebotseng	r E b O ts> E N
tshepegang	tsh E p> E x a N
ntenne	n t> E n n E
tshamekatshameka	tsh a m E k> a tsh a m E k> a
nkokoago	n k> O k> O a x O
mokaragana	m O k> a r a x a n a
bolokege	b O l O k> E x E
letlha	l E tlh a
tlhagelele	tlh a x E l E l E
kgotlapeomolao	kx O tl> a p> E O m O l a O
imologa	i m O l O x a
aga	a x a
mokolokong	m O k> O l O k> O N
ikwadiswa	i k> w a d i s w a
lotlatlana	l O tl> a tl> a n a
ipoa	i p> O a
netefaditswe	n E t> E f a d i ts> w E
kgalefo	kx a l E f O
diterene	d i t> E r E n E
dipatlisisong	d i p> a tl> i s i s O N
thekeniki	th E k> E n i k> i
molaotheo	m O l a O th E O
moroto	m O r O t> O
ntseng	n ts> E N
totobalo	t> O t> O b a l O
naledi	n a l E d i
kgolagano	kx O l a x a n O
tlhalositse	tlh a l O s i ts> E
monontsha	m O n O n tsh a
madulo	m a d u l O
mopakakgwebo	m O p> a k> a kx w E b O
dipolokong	d i p> O l O k> O N
tshwantshokgopolo	tsh w a n tsh O kx O p> O l O
konoseditswe	k> O n O s E d i ts> w E
dikganedi	d i kx a n E d i
basenyi	b a s E J i
roma	r O m a
dipoloto	d i p> O l O t> O
sekupung	s E k> u p> u N
mekhutshwane	m E kh u tsh w a n E
dikamano	d i k> a m a n O
kopong	k> O p> O N
tokafatso	t> O k> a f a ts> O
latswitswe	l a ts> w i ts> w E
boona	b O O n a
tlhagisediwang	tlh a x i s E d i w a N
bobona	b O b O n a
dipelang	d i p> E l a N
obameleng	O b a m E l E N
mothaka	m O th a k> a
gaelelwa	x a E l E l w a
tekeletso	t> E k> E l E ts> O
batsofe	b a ts> O f E
ikwadisitseng	i k> w a d i s i ts> E N
phatlho	ph a tlh O
keletsong	k> E l E ts> O N
siamelang	s i a m E l a N
thulametse	th u l a m E ts> E
diriseditswe	d i r i s E d i ts> w E
robaditswe	r O b a d i ts> w E
dipalamo	d i p> a l a m O
tolamiso	t> O l a m i s O
reboletsweng	r E b O l E ts> w E N
atla	a tl> a
litara	l i t> a r a
tsidifatsang	ts> i d i f a ts> a N
setlankana	s E tl> a n k> a n a
entela	E n t> E l a
sethalong	s E th a l O N
iphaphatileng	i ph a ph a t> i l E N
molaetsamogolo	m O l a E ts> a m O x O l O
eletseng	E l E ts> E N
tsepamang	ts> E p> a m a N
makgabana	m a kx a b a n a
benteng	b E n t> E N
batlisisiwa	b a tl> i s i s i w a
tumelo	t> u m E l O
dikgotlatshekelo	d i kx O tl> a tsh E k> E l O
phopholetso	ph O ph O l E ts> O
dikapuo	d i k> a p> u O
tshaeno	tsh a E n O
bodumedi	b O d u m E d i
phaposiboapelong	ph a p> O s i b O a p> E l O N
bogaka	b O x a k> a
tsamaisitswe	ts> a m a i s i ts> w E
katlanegiso	k> a tl> a n E x i s O
amogeleseng	a m O x E l E s E N
boreile	b O r E i l E
seminara	s E m i n a r a
ipaakantse	i p> a k> a n ts> E
morafeng	m O r a f E N
lebaleba	l E b a l E b a
nyemile	J E m i l E
fufulelwa	f u f u l E l w a
itemogelwang	i t> E m O x E l w a N
tshameke	tsh a m E k> E
ithorisa	i th O r i s a
kgorelediwe	kx O r E l E d i w E
dikokomana	d i k> O k> O m a n a
iketlileng	i k> E tl> i l E N
motsesetoropo	m O ts> E s E t> O r O p> O
thekong	th E k> O N
mokwalo	m O k> w a l O
buiwang	b u i w a N
tsosi	ts> O s i
setshwantsho	s E tsh w a n tsh O
tiisang	t> i i s a N
bulwe	b u l w E
digase	d i x a s E
dikutla	d i k> u tl> a
tlhabiwa	tlh a b i w a
ditsidifatsi	d i ts> i d i f a ts> i
histori	h i s t> O r i
retelelwang	r E t> E l E l w a N
ratsale	r a ts> a l E
moko	m O k> O
tlamelwa	tl> a m E l w a
matloa	m a tl> O a
phekolo	ph E k> O l O
sehubeng	s E h u b E N
sotlegelang	s O tl> E x E l a N
ditsheding	d i tsh E d i N
kgasakgaso	kx a s a kx a s O
thusiwe	th u s i w E
bofologileng	b O f O l O x i l E N
patelesegile	p> a t> E l E s E x i l E
sepolotiki	s E p> O l O t> i k> i
moikuedi	m O i k> u E d i
nosiwa	n O s i w a
gateletswe	x a t> E l E ts> w E
bogaufi	b O x a u f i
itshwenye	i tsh w E J E
raseboa	r a s E b O a
kake	k> a k> E
ikamanya	i k> a m a J a
diganana	d i x a n a n a
metseseteropong	m E ts> E s E t> E r O p> O N
bopa	b O p> a
tshwaelwa	tsh w a E l w a
rometse	r O m E ts> E
gotela	x O t> E l a
ata	a t> a
sekasekilweng	s E k> a s E k> i l w E N
bapisega	b a p> i s E x a
thibiwa	th i b i w a
kgatlhanong	kx a tlh a n O N
tsholofelonyana	tsh O l O f E l O J a n a
segatsetsi	s E x a ts> E ts> i
robadiwang	r O b a d i w a N
maswe	m a s w E
dikgamelong	d i kx a m E l O N
ditekelelong	d i t> E k> E l E l O N
ditshupatlotlo	d i tsh u p> a tl> O tl> O
tshwaelo	tsh w a E l O
dikgwebong	d i kx w E b O N
letsoku	l E ts> O k> u
kokotletseng	k> O k> O tl> E ts> E N
feletse	f E l E ts> E
sekolosegolo	s E k> O l O s E x O l O
motshegare	m O tsh E x a r E
ntshetsana	n tsh E ts> a n a
tlhophiwa	tlh O ph i w a
lekaleng	l E k> a l E N
bomogoloo	b O m O x O l O O
sokologa	s O k> O l O x a
metswedithuso	m E ts> w E d i th u s O
swelela	s w E l E l a
mokong	m O k> O N
bagaetshong	b a x a E tsh O N
mmontsha	m m O n tsh a
ditheo	d i th E O
tlhakanngwa	tlh a k> a n N w a
nkganang	n kx a n a N
hubeng	h u b E N
lwalang	l w a l a N
tlhatlhangwa	tlh a tlh a N w a
matshelo	m a tsh E l O
lekoko	l E k> O k> O
setatamente	s E t> a t> a m E n t> E
baakanyeditswe	b a k> a J E d i ts> w E
nnete	n n E t> E
gapeletsa	x a p> E l E ts> a
sepolotiking	s E p> O l O t> i k> i N
lebotlolo	l E b O tl> O l O
manyanyabea	m a J a J a b E a
teeletsweng	t> E E l E ts> w E N
digaretene	d i x a r E t> E n E
falotse	f a l O ts> E
lebogelwa	l E b O x E l w a
bosweu	b O s w E u
thadisong	th a d i s O N
thuthusiwang	th u th u s i w a N
buang	b u a N
mmitse	m m i ts> E
nteba	n t> E b a
sokameng	s O k> a m E N
gobatsang	x O b a ts> a N
borai	b O r a i
kaname	k> a n a m E
ditafole	d i t> a f O l E
leswefatse	l E s w E f a ts> E
fetisitsweng	f E t> i s i ts> w E N
amilweng	a m i l w E N
bonosing	b O n O s i N
dikakgelo	d i k> a kx E l O
bopega	b O p> E x a
monaganong	m O n a x a n O N
