can't	k> a n t>
marabele	m a r a B E l E
marabe	m a r a B E
maraga	m a r a G a
marago	m a r a G O
maragwana	m a r a G w a n a
maraka	m a r a k> a
marama	m a r a m a
marameng	m a r a m E N
marangrang	m a r a N r a N
marapo	m a r a p> O
marara	m a r a r a
mararankodi	m a r a r a n k> O l` i
mararo	m a r a r O
maratha	m a r a th a
marathana	m a r a th a n a
marato	m a r a t> O
maratwa	m a r a t> w a
maratwana	m a r a t> w a n a
marega	m a r E G a
marela	m a r E l a
marematlou	m a r E m a tl> O u
marena	m a r E n a
mareo	m a r E O
mariba	m a r i B a
maribe	m a r i B E
maribeng	m a r i B E N
marinini	m a r i n i n i
mariri	m a r i r i
marobalelo	m a r O B a l E l O
marobalo	m a r O B a l O
maroba	m a r O B a
maroga	m a r O G a
marokgo	m a r O kx O
marokgwana	m a r O kx w a n a
maroko	m a r O k> O
marole	m a r O l E
marontho	m a r O n th O
maropeng	m a r O p> E N
marothi	m a r O th i
marothodi	m a r O th O l` i
marotholodi	m a r O th O l O l` i
marotholotšana	m a r O th O l O tS> a n a
marotho	m a r O th O
marotse	m a r O ts> E
maruahlapi	m a r u a K a p> i
marula	m a r u l a
marulelo	m a r u l E l O
marulelong	m a r u l E l O N
maru	m a r u
marumo	m a r u m O
marumong	m a r u m O N
marung	m a r u N
maruo	m a r u O
mašaba	m a S a B a
mašabašaba	m a S a B a S a B a
mašaedi	m a S a E l` i
masaka	m a s a k> a
mašaka	m a S a k> a
mašakana	m a S a k> a n a
mašakaneng	m a S a k> a n E N
mašala	m a S a l a
mašalamorago	m a S a l a m O r a G O
mašalašupi	m a S a l a S u p> i
mašaledi	m a S a l E l` i
mašaleding	m a S a l E l` i N
mašalela	m a S a l E l a
masa	m a s a
mašaša	m a S a S a
mašata	m a S a t> a
mašatana	m a S a t> a n a
masea	m a s E a
mašegogare	m a S E G O G a r E
mašego	m a S E G O
masehla	m a s E K a
masekane	m a s E k> a n E
maselaga	m a s E l a G a
mašela	m a S E l a
mašeleng	m a S E l E N
maseme	m a s E m E
mašemo	m a S E m O
mašemong	m a S E m O N
mašengwana	m a S E N w a n a
masenke	m a s E n k> E
masenyane	m a s E J a n E
masepala	m a s E p> a l a
masese	m a s E s E
masetlapelo	m a s E tl> a p> E l O
masetlapelong	m a s E tl> a p> E l O N
masetrata	m a s E t> r a t> a
mašika	m a S i k> a
masione	m a s i O n E
mašoba	m a S O B a
mašobana	m a S O B a n a
mašobanatlakala	m a S O B a n a tl> a k> a l a
mašobaneng	m a S O B a n E N
masobelong	m a s O B E l O N
mašoboro	m a S O B O r O
masogana	m a s O G a n a
masoganeng	m a s O G a n E N
mašoka	m a S O k> a
masokisi	m a s O k> i s i
mašokotšo	m a S O k> O tS> O
masola	m a s O l a
mašole	m a S O l E
masolo	m a s O l O
masolong	m a s O l O N
maso	m a s O
masomehlano	m a s O m E K a n O
masome	m a s O m E
masomenne	m a s O m E n n E
masomennetee	m a s O m E n n E t> E E
masomepedihlano	m a s O m E p> E l` i K a n O
masomepedi	m a s O m E p> E l` i
masomepedinne	m a s O m E p> E l` i n n E
masomepeditee	m a s O m E p> E l` i t> E E
masomesenyane	m a s O m E s E J a n E
masomeseswai	m a s O m E s E s w a i
masomesome	m a s O m E s O m E
masomešupa	m a s O m E S u p> a
masometharohlano	m a s O m E th a r O K a n O
masometharo	m a s O m E th a r O
masometharopedi	m a s O m E th a r O p> E l` i
masometlhano	m a s O m E tlh a n O
masometshela	m a s O m E tsh E l a
mašope	m a S O p> E
mašopeng	m a S O p> E N
masoro	m a s O r O
mašoro	m a S O r O
mašorwana	m a S O r w a n a
mašošo	m a S O S O
mašoto	m a S O t> O
mašotša	m a S O tS> a
mašuana	m a S u a n a
mašula	m a S u l a
maswabi	m a s w a B i
maswafo	m a s w a f O
maswafong	m a s w a f O N
maswa	m a s w a
maswanedi	m a s w a n E l` i
mašwaneng	m a S w a n E N
maswaodikga	m a s w a O l` i kx a
maswao	m a s w a O
mašweu	m a S w E u
maswika	m a s w i k> a
maswikana	m a s w i k> a n a
maswikeng	m a s w i k> E N
maswi	m a s w i
maswing	m a s w i N
maswiswi	m a s w i s w i
mataese	m a t> a E s E
matala	m a t> a l a
matamo	m a t> a m O
matamong	m a t> a m O N
matangwana	m a t> a N w a n a
matapola	m a t> a p> O l a
matelele	m a t> E l E l E
matena	m a t> E n a
mateng	m a t> E N
matengwa	m a t> E N w a
matepe	m a t> E p> E
materiale	m a t> E r i a l E
mathabo	m a th a B O
mathaithai	m a th a i th a i
mathaka	m a th a k> a
mathale	m a th a l E
mathamo	m a th a m O
mathapama	m a th a p> a m a
mathapameng	m a th a p> a m E N
mathari	m a th a r i
mathašana	m a th a S a n a
mathata	m a th a t> a
mathatanyana	m a th a t> a J a n a
mathateng	m a th a t> E N
mathatha	m a th a th a
mathedithedi	m a th E l` i th E l` i
matheetšabohle	m a th E E tS> a B O K E
matheka	m a th E k> a
mathekeng	m a th E k> E N
mathoko	m a th O k> O
mathokong	m a th O k> O N
mathomo	m a th O m O
mathomomayo	m a th O m O m a j O
mathomong	m a th O m O N
mathomothomo	m a th O m O th O m O
mathudi	m a th u l` i
mathuding	m a th u l` i N
mathumaša	m a th u m a S a
matlafaditšwego	m a tl> a f a l` i tS> w E G O
matlafaditšwe	m a tl> a f a l` i tS> w E
matlafala	m a tl> a f a l a
matlafatšago	m a tl> a f a tS> a G O
matlafatša	m a tl> a f a tS> a
matlafatšo	m a tl> a f a tS> O
matlafatšwa	m a tl> a f a tS> w a
matlakadibe	m a tl> a k> a l` i B E
matlakala	m a tl> a k> a l a
matlakaleng	m a tl> a k> a l E N
matlalo	m a tl> a l O
matlalwana	m a tl> a l w a n a
matla	m a tl> a
matlametlo	m a tl> a m E tl> O
matlapa	m a tl> a p> a
matlapana	m a tl> a p> a n a
matlapeng	m a tl> a p> E N
matlema	m a tl> E m a
matleng	m a tl> E N
matlola	m a tl> O l a
matlole	m a tl> O l E
matlotlo	m a tl> O tl> O
matokomane	m a t> O k> O m a n E
matolo	m a t> O l O
matolong	m a t> O l O N
matona	m a t> O n a
matšae	m a tS> a E
matsaka	m a ts> a k> a
matsapa	m a ts> a p> a
matsapane	m a ts> a p> a n E
matsapeng	m a ts> a p> E N
matšarine	m a tS> a r i n E
matšato	m a tS> a t> O
matšatšana	m a tS> a tS> a n a
matšatšikgwedi	m a tS> a tS> i kx w E l` i
matšatši	m a tS> a tS> i
matšatšing	m a tS> a tS> i N
matšatšinyana	m a tS> a tS> i J a n a
matsebetsebe	m a ts> E B E ts> E B E
matseka	m a ts> E k> a
matsenokakaretšo	m a ts> E n O k> a k> a r E tS> O
matseno	m a ts> E n O
matsenong	m a ts> E n O N
matsenyagae	m a ts> E J a G a E
matšhakane	m a tSh a k> a n E
matsha	m a tsh a
matshedišo	m a tsh E l` i S O
matšhila	m a tSh i l a
matšhogo	m a tSh O G O
matšhošetši	m a tSh O S E tS> i
matshwenyego	m a tsh w E J E G O
matsikangope	m a ts> i k> a N O p> E
matšoba	m a tS> O B a
matšobana	m a tS> O B a n a
matsogo	m a ts> O G O
matsogong	m a ts> O G O N
matšo	m a tS> O
matsuana	m a ts> u a n a
matswai	m a ts> w a i
matswalo	m a ts> w a l O
matswamati	m a ts> w a m a t> i
matšwantle	m a tS> w a n tl> E
matswele	m a ts> w E l E
matšwele	m a tS> w E l E
matsweleng	m a ts> w E l E N
matute	m a t> u t> E
matutu	m a t> u t> u
matwa	m a t> w a
matwetwe	m a t> w E t> w E
mauba	m a u B a
maupi	m a u p> i
mawatle	m a w a tl> E
mawatleng	m a w a tl> E N
meago	m E a G O
meagong	m E a G O N
meaparo	m E a p> a r O
mebalabala	m E B a l a B a l a
mebala	m E B a l a
mebaraka	m E B a r a k> a
mebarakeng	m E B a r a k> E N
mebedi	m E B E l` i
mebele	m E B E l E
mebeleng	m E B E l E N
mebe	m E B E
mebepe	m E B E p> E
mebepeng	m E B E p> E N
mebila	m E B i l a
mebileng	m E B i l E N
mebino	m E B i n O
mebjalo	m E BZ a l O
mebolelwana	m E B O l E l w a n a
meboto	m E B O t> O
mebotong	m E B O t> O N
mebotoro	m E B O t> O r O
mebotse	m E B O ts> E
mebotwana	m E B O t> w a n a
mebotwaneng	m E B O t> w a n E N
mebu	m E B u
mebušogae	m E B u S O G a E
mebušo	m E B u S O
mebušong	m E B u S O N
mebutla	m E B u tl> a
mediamo	m E l` i a m O
medilego	m E l` i l E G O
medile	m E l` i l E
medirišo	m E l` i r i S O
mediro	m E l` i r O
medirong	m E l` i r O N
mediša	m E l` i S a
meditšego	m E l` i tS> E G O
meditše	m E l` i tS> E
meditšwe	m E l` i tS> w E
medu	m E l` u
medumokwano	m E l` u m O k> w a n O
medumo	m E l` u m O
medung	m E l` u N
medungwana	m E l` u N w a n a
medupi	m E l` u p> i
meedi	m E E l` i
meeding	m E E l` i N
meela	m E E l a
meeleng	m E E l E N
meeno	m E E n O
meenong	m E E n O N
meepo	m E E p> O
meepong	m E E p> O N
meetlo	m E E tl> O
meetlwa	m E E tl> w a
meetsefula	m E E ts> E f u l a
meetse	m E E ts> E
meetseng	m E E ts> E N
mefago	m E f a G O
mefato	m E f a t> O
mefefa	m E f E f a
meferefere	m E f E r E f E r E
mefikela	m E f i k> E l a
mefolo	m E f O l O
mefsa	m E p\s a
megabaru	m E G a B a r u
megala	m E G a l a
megalantšu	m E G a l a n tS> u
megalatšhika	m E G a l a tSh i k> a
megamolo	m E G a m O l O
meganyaganyane	m E G a J a G a J a n E
megato	m E G a t> O
megodu	m E G O l` u
megogolwa	m E G O G O l w a
megokgo	m E G O kx O
megokgonyana	m E G O kx O J a n a
megola	m E G O l a
megolo	m E G O l O
megolong	m E G O l O N
megoma	m E G O m a
mego	m E G O
megono	m E G O n O
megopolo	m E G O p> O l O
megopolong	m E G O p> O l O N
megopo	m E G O p> O
megwanto	m E G w a n t> O
megwapa	m E G w a p> a
mehlagare	m E K a G a r E
mehlagase	m E K a G a s E
mehlaka	m E K a k> a
mehlala	m E K a l a
mehla	m E K a
mehlamo	m E K a m O
mehlamu	m E K a m u
mehlano	m E K a n O
mehlape	m E K a p> E
mehlare	m E K a r E
mehlareng	m E K a r E N
mehlašana	m E K a S a n a
mehleng	m E K E N
mehlobohlobo	m E K O B O K O B O
mehlobo	m E K O B O
mehlodi	m E K O l` i
mehlolo	m E K O l O
mehlotlo	m E K O tl> O
mehola	m E h\ O l a
meholeng	m E h\ O l E N
mehubedu	m E h\ u B E l` u
mehutahuta	m E h\ u t> a h\ u t> a
mehuta	m E h\ u t> a
mehutana	m E h\ u t> a n a
mehutangwalo	m E h\ u t> a N w a l O
mehutangwalwa	m E h\ u t> a N w a l w a
mehutangwalweng	m E h\ u t> a N w a l w E N
mehuteng	m E h\ u t> E N
mejako	m E d0Z a k> O
mekae	m E k> a E
mekaone	m E k> a O n E
mekero	m E k> E r O
mekete	m E k> E t> E
mekgabišo	m E kx a B i S O
mekgabo	m E kx a B O
mekgahlo	m E kx a K O
mekgaritswane	m E kx a r i ts> w a n E
mekgatlokemedi	m E kx a tl> O k> E m E l` i
mekgatlo	m E kx a tl> O
mekgatlong	m E kx a tl> O N
mekgato	m E kx a t> O
mekgobeng	m E kx O B E N
mekgobo	m E kx O B O
mekgolokwane	m E kx O l O k> w a n E
mekgopa	m E kx O p> a
mekgoši	m E kx O S i
mekgotha	m E kx O th a
mekgotheng	m E kx O th E N
mekgwa	m E kx w a
mekgwanakgwana	m E kx w a n a kx w a n a
mekgwana	m E kx w a n a
mekgwatshepetšo	m E kx w a tsh E p> E tS> O
mekgweng	m E kx w E N
mekheniki	m E kh E n i k> i
mekhukhu	m E kh u kh u
mekhukhung	m E kh u kh u N
mekitlana	m E k> i tl> a n a
mekokotlo	m E k> O k> O tl> O
mekopana	m E k> O p> a n a
mekoti	m E k> O t> i
mekoting	m E k> O t> i N
mekotla	m E k> O tl> a
mekotlana	m E k> O tl> a n a
mekotleng	m E k> O tl> E N
mekutwana	m E k> u t> w a n a
mekutwaneng	m E k> u t> w a n E N
melaba	m E l a B a
melaetša	m E l a E tS> a
melago	m E l a G O
melala	m E l a l a
mela	m E l a
melamo	m E l a m O
melangwana	m E l a N w a n a
melaokakanywa	m E l a O k> a k> a J w a
melao	m E l a O
melaong	m E l a O N
melaotheo	m E l a O th E O
melaotshepetšo	m E l a O tsh E p> E tS> O
melapo	m E l a p> O
melato	m E l a t> O
melatong	m E l a t> O N
melatšatši	m E l a tS> a tS> i
melawana	m E l a w a n a
melawaneng	m E l a w a n E N
meleko	m E l E k> O
melekwana	m E l E k> w a n a
melela	m E l E l a
mele	m E l E
melete	m E l E t> E
meleteng	m E l E t> E N
meletlo	m E l E tl> O
meletlong	m E l E tl> O N
meletša	m E l E tS> a
meletšana	m E l E tS> a n a
meletse	m E l E ts> E
meletše	m E l E tS> E
mello	m E l l O
mellwane	m E l l w a n E
mellwaneng	m E l l w a n E N
melodi	m E l O l` i
meloding	m E l O l` i N
melokoloko	m E l O k> O l O k> O
meloko	m E l O k> O
melokong	m E l O k> O N
melomo	m E l O m O
melomong	m E l O m O N
melongwana	m E l O N w a n a
memago	m E m a G O
mema	m E m a
memile	m E m i l E
memilwe	m E m i l w E
memiwa	m E m i w a
memorantamo	m E m O r a n t> a m O
menagane	m E n a G a n E
menagano	m E n a G a n O
menaganong	m E n a G a n O N
mena	m E n a
menawa	m E n a w a
menega	m E n E G a
mene	m E n E
menga	m E N a
mengapo	m E N a p> O
mengwagakgolo	m E N w a G a kx O l O
mengwaga	m E N w a G a
mengwagangwaga	m E N w a G a N w a G a
mengwaganyana	m E N w a G a J a n a
mengwagasome	m E N w a G a s O m E
mengwageng	m E N w a G E N
mengwako	m E N w a k> O
mengwakong	m E N w a k> O N
mengwakwana	m E N w a k> w a n a
mengwa	m E N w a
mengwapo	m E N w a p> O
mengwe	m E N w E
menkgo	m E n kx O
mennyane	m E n J a n E
menoga	m E n O G a
menola	m E n O l a
meno	m E n O
menontšha	m E n O n tSh a
mentši	m E n tS> i
menwana	m E n w a n a
menwaneng	m E n w a n E N
menyanya	m E J a J a
menyanyeng	m E J a J E N
menyu	m E J u
meokgo	m E O kx O
meono	m E O n O
meotlwa	m E O tl> w a
meoya	m E O j a
mepeleto	m E p> E l E t> O
mepete	m E p> E t> E
mephato	m E ph a t> O
mephatong	m E ph a t> O N
mepipi	m E p> i p> i
mepududu	m E p> u l` u l` u
meputso	m E p> u ts> O
meraba	m E r a B a
merabeng	m E r a B E N
merafe	m E r a f E
merafeng	m E r a f E N
meraferafe	m E r a f E r a f E
meragelo	m E r a G E l O
meraro	m E r a r O
meratha	m E r a th a
meratho	m E r a th O
meratišo	m E r a t> i S O
mereba	m E r E B a
mereng	m E r E N
mereo	m E r E O
merero	m E r E r O
mererong	m E r E r O N
mererwana	m E r E r w a n a
meriana	m E r i a n a
meriri	m E r i r i
merišana	m E r i S a n a
meritimebedi	m E r i t> i m E B E l` i
meriti	m E r i t> i
merogo	m E r O G O
mero	m E r O
meropa	m E r O p> a
merumo	m E r u m O
merumong	m E r u m O N
merwalo	m E r w a l O
merwalwana	m E r w a l w a n a
mesamelo	m E s a m E l O
mešašana	m E S a S a n a
mesebe	m E s E B E
mesela	m E s E l a
meselana	m E s E l a n a
mesepelo	m E s E p> E l O
mesesane	m E s E s a n E
mešidi	m E S i l` i
mešifa	m E S i f a
meši	m E S i
mešito	m E S i t> O
meso	m E s O
mesomo	m E s O m O
mešomo	m E S O m O
mešomong	m E S O m O N
mesong	m E s O N
mešongwana	m E S O N w a n a
mešongwanašongwana	m E S O N w a n a S O N w a n a
mešunkwane	m E S u n k> w a n E
mešwana	m E S w a n a
metala	m E t> a l a
metale	m E t> a l E
metara	m E t> a r a
metato	m E t> a t> O
metelele	m E t> E l E l E
methaladi	m E th a l a l` i
methalading	m E th a l a l` i N
methalohlahli	m E th a l O K a K i
methalo	m E th a l O
methalotheto	m E th a l O th E t> O
methalothetong	m E th a l O th E t> O N
methapo	m E th a p> O
methata	m E th a t> a
metheo	m E th E O
metheong	m E th E O N
methepa	m E th E p> a
methopo	m E th O p> O
methopong	m E th O p> O N
methopothušo	m E th O p> O th u S O
metlae	m E tl> a E
metšago	m E tS> a G O
metša	m E tS> a
metsana	m E ts> a n a
metsemagae	m E ts> E m a G a E
metsemagaeng	m E ts> E m a G a E N
metse	m E ts> E
metše	m E tS> E
metseng	m E ts> E N
metsesetoropo	m E ts> E s E t> O r O p> O
metsesetoropong	m E ts> E s E t> O r O p> O N
metšhelo	m E tSh E l O
metšhelong	m E tSh E l O N
metšhelwana	m E tSh E l w a n a
metšhene	m E tSh E n E
metšheneng	m E tSh E n E N
metsi	m E ts> i
metsoko	m E ts> O k> O
metšoko	m E tS> O k> O
metšo	m E tS> O
metsotso	m E ts> O ts> O
metsotsong	m E ts> O ts> O N
metsotsonyana	m E ts> O ts> O J a n a
metsotswana	m E ts> O ts> w a n a
metsotswaneng	m E ts> O ts> w a n E N
metswako	m E ts> w a k> O
metswakotii	m E ts> w a k> O t> i i
metswalle	m E ts> w a l l E
metšwa	m E tS> w a
metšwana	m E tS> w a n a
meuta	m E u t> a
mileniamo	m i l E n i a m O
milione	m i l i O n E
minerale	m i n E r a l E
minimamo	m i n i m a m O
mišene	m i S E n E
ml	m l
mmabago	m m a B a G O
mmabatho	m m a B a th O
mmabo	m m a B O
mmabona	m m a B O n a
mmadi	m m a l` i
mmadineo	m m a l` i n E O
mmaditsela	m m a l` i ts> E l a
mmagobanake	m m a G O B a n a k> E
mmagobana	m m a G O B a n a
mmagobona	m m a G O B O n a
mmagoja	m m a G O d0Z a
mmagolena	m m a G O l E n a
mmago	m m a G O
mmagongwana	m m a G O N w a n a
mmagorena	m m a G O r E n a
mmagosetšhaba	m m a G O s E tSh a B a
mmagotšona	m m a G O tS> O n a
mmagwe	m m a G w E
mmakatša	m m a k> a tS> a
mmakgonthe	m m a kx O n th E
mmakgoši	m m a kx O S i
mmaladitšhelete	m m a l a l` i tSh E l E t> E
mmala	m m a l a
mmalapa	m m a l a p> a
mmalegogwana	m m a l E G O G w a n a
mmaletee	m m a l E t> E E
mmalo	m m a l O
mmalwa	m m a l w a
mmalwana	m m a l w a n a
mmalwanyana	m m a l w a J a n a
mma	m m a
mmamogolo	m m a m O G O l O
mmamoratwa	m m a m O r a t> w a
mmamoruti	m m a m O r u t> i
mmaneagwe	m m a n E a G w E
mmane	m m a n E
mmankgagane	m m a n kx a G a n E
mmapadi	m m a p> a l` i
mmapa	m m a p> a
mmapelo	m m a p> E l O
mmapeng	m m a p> E N
mmaphala	m m a ph a l a
mmapitšana	m m a p> i tS> a n a
mmaraka	m m a r a k> a
mmarakeng	m m a r a k> E N
mmaruri	m m a r u r i
mmasebotsana	m m a s E B O ts> a n a
mmasefala	m m a s E f a l a
mmasefolo	m m a s E f O l O
mmaseletswana	m m a s E l E ts> w a n a
mmasepala	m m a s E p> a l a
mmasepaleng	m m a s E p> a l E N
mmasepela	m m a s E p> E l a
mmaserwadi	m m a s E r w a l` i
mmatamela	m m a t> a m E l a
mmatswaleagwe	m m a ts> w a l E a G w E
mmeakanyi	m m E a k> a J i
mmea	m m E a
mmeeletši	m m E E l E tS> i
mmefelela	m m E f E l E l a
mmegaditaba	m m E G a l` i t> a B a
mmegedi	m m E G E l` i
mmegela	m m E G E l a
mmegi	m m E G i
mmeile	m m E i l E
mmei	m m E i
mmejana	m m E d0Z a n a
mmelaedi	m m E l a E l` i
mmelaelwa	m m E l a E l w a
mmela	m m E l a
mmelegego	m m E l E G E G O
mmelegele	m m E l E G E l E
mmelegiši	m m E l E G i S i
mmele	m m E l E
mmeleng	m m E l E N
mmeletše	m m E l E tS> E
mme	m m E
mmepe	m m E p> E
mmepeng	m m E p> E N
mmereki	m m E r E k> i
mmešwa	m m E S w a
mmetela	m m E t> E l a
mmete	m m E t> E
mmetha	m m E th a
mmethilego	m m E th i l E G O
mmethile	m m E th i l E
mmetse	m m E ts> E
mmila	m m i l a
mmileng	m m i l E N
mmiletše	m m i l E tS> E
mmilo	m m i l O
mminanoko	m m i n a n O k> O
mmino	m m i n O
mmintšha	m m i n tSh a
mmipela	m m i p> E l a
mmipe	m m i p> E
mmitša	m m i tS> a
mmoba	m m O B a
mmoditšego	m m O l` i tS> E G O
mmoditše	m m O l` i tS> E
mmoeletša	m m O E l E tS> a
mmogedi	m m O G E l` i
mmogetše	m m O G E tS> E
mmogo	m m O G O
mmoifa	m m O i f a
mmoko	m m O k> O
mmolaele	m m O l a E l E
mmolaile	m m O l a i l E
mmolai	m m O l a i
mmolaiša	m m O l a i S a
mmolaya	m m O l a j a
mmoledi	m m O l E l` i
mmolediša	m m O l E l` i S a
mmolediše	m m O l E l` i S E
mmoleledi	m m O l E l E l` i
mmolelo	m m O l E l O
mmolelwana	m m O l E l w a n a
mmoloka	m m O l O k> a
mmolokedi	m m O l O k> E l` i
mmoloke	m m O l O k> E
mmoloki	m m O l O k> i
mmonago	m m O n a G O
mmona	m m O n a
mmonego	m m O n E G O
mmone	m m O n E
mmontšha	m m O n tSh a
mmontšhi	m m O n tSh i
mmopa	m m O p> a
mmopi	m m O p> i
mmotlolo	m m O tl> O l O
mmoto	m m O t> O
mmotong	m m O t> O N
mmotoro	m m O t> O r O
mmotorong	m m O t> O r O N
mmotšago	m m O tS> a G O
mmotša	m m O tS> a
mmotše	m m O tS> E
mmotšišago	m m O tS> i S a G O
mmotšiša	m m O tS> i S a
mmotšiše	m m O tS> i S E
mmotšiši	m m O tS> i S i
mmotšišitše	m m O tS> i S i tS> E
mmotšišwa	m m O tS> i S w a
mmotu	m m O t> u
mmulela	m m u l E l a
mmu	m m u
mmung	m m u N
mmušetša	m m u S E tS> a
mmušetše	m m u S E tS> E
mmuši	m m u S i
mmušiši	m m u S i S i
mmušogae	m m u S O G a E
mmušo	m m u S O
mmušong	m m u S O N
mmušotikologo	m m u S O t> i k> O l O G O
mmutedi	m m u t> E l` i
mmutla	m m u tl> a
moabalefa	m O a B a l E f a
moaba	m O a B a
moabi	m O a B i
moadimi	m O a l` i m i
moadimiši	m O a l` i m i S i
moadingwa	m O a l` i N w a
moagi	m O a G i
moagišani	m O a G i S a n i
moago	m O a G O
moagong	m O a G O N
moahlodi	m O a K O l` i
moahlodimogolo	m O a K O l` i m O G O l O
moahloledi	m O a K O l E l` i
moakanyetšo	m O a k> a J E tS> O
moalo	m O a l O
moamogedi	m O a m O G E l` i
moamuši	m O a m u S i
moanegi	m O a n E G i
moanegwa	m O a n E G w a
moanegwathwadi	m O a n E G w a th w a l` i
moano	m O a n O
moaparo	m O a p> a r O
moapei	m O a p> E i
moarabi	m O a r a B i
moatletiki	m O a tl> E t> i k> i
moba	m O B a
mobe	m O B E
mobose	m O B O s E
mobotse	m O B O ts> E
mobugodimo	m O B u G O l` i m O
mobu	m O B u
mobung	m O B u N
modiidi	m O l` i i l` i
modingwana	m O l` i N w a n a
modipa	m O l` i p> a
modiragatši	m O l` i r a G a tS> i
modiredi	m O l` i r E l` i
modirelaleago	m O l` i r E l a l E a G O
modirelwa	m O l` i r E l w a
modiri	m O l` i r i
modirišani	m O l` i r i S a n i
modiriši	m O l` i r i S i
modirišogore	m O l` i r i S O G O r E
modirišokgopelo	m O l` i r i S O kx O p> E l O
modirišo	m O l` i r i S O
modirišopeelano	m O l` i r i S O p> E E l a n O
modirišotaelo	m O l` i r i S O t> a E l O
modiro	m O l` i r O
modirong	m O l` i r O N
modirwana	m O l` i r w a n a
modiša	m O l` i S a
modiši	m O l` i S i
moditi	m O l` i t> i
modudi	m O l` u l` i
modukutu	m O l` u k> u t> u
modulasetulo	m O l` u l a s E t> u l O
modumedi	m O l` u m E l` i
modu	m O l` u
modumo	m O l` u m O
modung	m O l` u N
modupi	m O l` u p> i
modutona	m O l` u t> O n a
moedi	m O E l` i
moeding	m O E l` i N
moelelo	m O E l E l O
moeleng	m O E l E N
moeletši	m O E l E tS> i
moelo	m O E l O
moemedi	m O E m E l` i
moeng	m O E N
moeno	m O E n O
moento	m O E n t> O
moepathuse	m O E p> a th u s E
moepo	m O E p> O
moepong	m O E p> O N
moesa	m O E s a
moeta	m O E t> a
moetapele	m O E t> a p> E l E
moeteng	m O E t> E N
moeti	m O E t> i
moetlo	m O E tl> O
mofahloši	m O f a K O S i
mofaladi	m O f a l a l` i
mofefa	m O f E f a
mofelegetši	m O f E l E G E tS> i
mofenyi	m O f E J i
mofepi	m O f E p> i
mofetakatsela	m O f E t> a k> a ts> E l a
mofeti	m O f E t> i
mofetodi	m O f E t> O l` i
mofetoledi	m O f E t> O l E l` i
mofi	m O f i
mofofiši	m O f O f i S i
mofsa	m O p\s a
mogadibo	m O G a l` i B O
