'n	@
koerantberigte	k u r a n t b @ r @ x t @
koerante	k u r a n t @
koerantman	k u r a n t m a n
koerantpapier	k u r a n t p a p i r
koerdiese	k u r d i s @
koerier	k u r i r
koers	k u r s
koerse	k u r s @
koersverhoging	k u r s f @ r h\ u@ x @ N
koersverlaging	k u r s f @ r l A: x @ N
koester	k u s t @ r
koetshuis	k u t s h\ 9y s
koevert	k u f { r t
koevoet	k u f u t
koeweitse	k u v @i t s @
koeël	k u @ l
koffer	k O f @ r
koffie	k O f i
koffiekroeg	k O f i k r u x
koffietafel	k O f i t A: f @ l
koffiewinkel	k O f i v @ N k @ l
kognitief	k O x n @ t i f
koherensie	k u@ h\ i r E n s i
koherente	k u@ h\ i r E n t @
kohesie	k u h\ i@ s i
kok	k O k
koka	k u@ k a
kokaïen	k u k a i n
koker	k u@ k @ r
kokke	k O k @
kokon	k u k O n
kol	k O l
kole	k u@ l @
kolf	k O l f
kolfbeurt	k O l f b 2: r t
kolfbeurte	k O l f b 2: r t @
kolfblaaie	k O l f b l A:i @
kolfblad	k O l f b l a t
kolfkampie	k O l f k a m p i
kolflys	k O l f l @i s
kolforde	k O l f O r d @
kolfwerk	k O l f v { r k
kolle	k O l @
kollega	k u l i@ x a
kollegas	k u l i@ x a s
kollege	k O l i dZ
kolleges	k O l i dZ @ s
kollektief	k O l E k t i f
kollektiewe	k O l E k t i v @
kolletjies	k O l i k i s
kollig	k O l @ x
kolomme	k u l O m @
kolon	k u@ l O n
kolonel	k O l u n { l
koloniale	k u l u@ n i A: l @
kolonialisme	k u l u@ n i a l @ s m @
kolonie	k u l u@ n i
kolonies	k u l u@ n i s
kolonisering	k u l u@ n i s i@ r @ N
koloniste	k u l u@ n @ s t @
kolonnade	k O l u n A: d @
kolonne	k u l O n @
kolpak	k O l p a k
kolwe	k O l v @
kolwer	k O l v @ r
kolwers	k O l v @ r s
kom	k O m
koma	k u@ m a
komaan	k O m A: n
kombers	k O m b { r s
komberse	k O m b { r s @
kombi	k O m b i
kombinasie	k O m b i n A: s i
kombinasies	k O m b i n A: s i s
kombineer	k O m b i n i@ r
kombuis	k O m b 9y s
kombuisdeur	k O m b 9y s d 2: r
kombuise	k O m b 9y s @
kombuiskaste	k O m b 9y s k a s t @
kombuisvenster	k O m b 9y s f E n s t @ r
komediant	k u m i@ d i a n t
komediante	k u m i@ d i a n t @
komedie	k u m i@ d i
komeet	k u m i@ t
komende	k u@ m @ n d @
komete	k u m i@ t @
komies	k u@ m i s
komiese	k u@ m i s @
komitee	k O m @ t i@
komiteelede	k O m @ t i@ l i@ d @
komiteelid	k O m @ t i@ l @ t
komitees	k O m @ t i@ s
komkommer	k O m k O m @ r
komma	k O m a
kommandant	k O m a n d a n t
kommandement	k O m a n d @ m E n t
kommando	k u m a n d u
kommandokampe	k u m a n d u k a m p @
kommandolede	k u m a n d u l i@ d @
komme	k O m @
kommentaar	k O m @ n t A: r
kommentare	k O m @ n t A: r @
kommentator	k O m @ n t A: t O r
kommentators	k O m @ n t A: t O r s
kommer	k O m @ r
kommersieel	k O m { r s i i@ l
kommersiële	k O m { r s i i@ l @
kommerwekkend	k O m @ r v E k @ n t
kommerwekkende	k O m @ r v E k @ n d @
kommetjie	k O m i k i
kommissaris	k O m @ s A: r @ s
kommissarisse	k O m @ s A: r @ s @
kommissie	k u m i s i
kommissielede	k u m i s i l i@ d @
kommissies	k u m i s i s
kommoditeit	k O m O d i t @i t
kommoditeite	k O m O d i t @i t @
kommoditeitspryse	k O m O d i t @i t s p r @i s @
kommune	k u m y n @
kommunikasie	k O m y n i k A: s i
kommunikasiekanale	k O m y n i k A: s i k a n A: l @
kommunikasiekunde	k O m y n i k A: s i k 9 n d @
kommunikasiemedium	k O m y n i k A: s i m i d i 9 m
kommunikasiemodules	k O m y n i k A: s i m O d y l @ s
kommunikasiepraktisyn	k O m y n i k A: s i p r a k t i s @i n
kommunikasieproses	k O m y n i k A: s i p r u s E s
kommunikasiestelsels	k O m y n i k A: s i s t { l s @ l s
kommunikasiestrategie	k O m y n i k A: s i s t r a t @ x i
kommunikasietegnologieë	k O m y n i k A: s i t { x n u l u x i @
kommunikasievaardighede	k O m y n i k A: s i f A: r d @ x h\ i@ d @
kommunikasievakke	k O m y n i k A: s i f a k @
kommunikatiewe	k O m y n i k a t i v @
kommunikeer	k O m y n i k i@ r
kommunikering	k O m y n i k i@ r @ N
kommunis	k O m y n @ s
kommunisme	k O m y n @ s m @
kommuniste	k O m y n @ s t @
kommunistiese	k O m y n @ s t i s @
kompak	k O m p a k
kompakte	k O m p a k t @
kompanjie	k O m p a n j i
kompartement	k O m p a r t @ m E n t
kompeteer	k O m p @ t i@ r
kompetensies	k O m p @ t E n s i s
kompeterend	k O m p @ t i@ r @ n t
kompeterende	k O m p @ t i@ r @ n d @
kompetisie	k O m p @ t i s i
kompetisies	k O m p @ t i s i s
kompleet	k O m p l i@ t
kompleks	k O m p l E k s
komplekse	k O m p l E k s @
kompleksiteit	k O m p l E k s i t @i t
komplemente	k O m p l @ m E n t @
komplementeer	k O m p l @ m E n t i@ r
komplementêr	k O m p l @ m E n t { r
komplementêre	k O m p l @ m E n t { r @
kompleteer	k O m p l @ t i@ r
komplikasies	k O m p l i k A: s i s
kompliment	k O m p l i m E n t
komplimente	k O m p l i m E n t @
komplimenteer	k O m p l i m E n t i@ r
komplimentêr	k O m p l i m E n t { r
komplot	k O m p l O t
komponeer	k O m p u n i@ r
komponent	k O m p u n E n t
komponente	k O m p u n E n t @
komponis	k O m p u n @ s
komponiste	k O m p u n @ s t @
kompos	k O m p O s
komposisie	k O m p u z i s i
komposisies	k O m p u z i s i s
komposisionele	k O m p u z i S iu n i@ l @
kompressor	k O m p r E s O r
kompromie	k O m p r u m i
kompromieë	k O m p r u m i @
kompromis	k O m p r u m @ s
kompromisse	k O m p r u m @ s @
komrij	k O m r @i
koms	k O m s
komste	k O m s t @
kon	k O n
kondensasie	k O n d E n s A: s i
kondig	k O n d @ x
kondisie	k O n d i s i
kondisionering	k O n d i S iu n i@ r @ N
kondome	k O n d u@ m @
konfederasie	k O n f E d @ r A: s i
konferensie	k O n f @ r E n s i
konferensies	k O n f @ r E n s i s
konferensiesentrum	k O n f @ r E n s i s E n t r 9 m
konfigurasie	k O n f i x y r A: s i
konflik	k O n f l @ k
konflikhantering	k O n f l @ k h\ a n t i@ r @ N
konflikte	k O n f l @ k t @
konflikteorie	k O n f l @ k t i u r i
konformiteit	k O n f O r m i t @i t
konfrontasie	k O n f r O n t A: s i
konfronteer	k O n f r O n t i@ r
konfyt	k O n f @i t
kongenitale	k O n x i@ n i t A: l @
konglomeraat	k O n x l O m @ r A: t
konglomerate	k O n x l O m @ r A: t @
kongres	k O n x r E s
kongresse	k O n x r E s @
kongruensie	k O n x r y E n s i
koning	k u@ n @ N
koningin	k u@ n @ N @ n
konings	k u@ n @ N s
koningsgesin	k u@ n @ N s x @ s @ n
koningshuis	k u@ n @ N s h\ 9y s
koningskap	k u@ n @ N s k a p
koninklike	k u@ n @ N k l @ k @
koninklikes	k u@ n @ N k l @ k @ s
koninkryk	k u@ n @ N k r @i k
koninkryke	k u@ n @ N k r @i k @
konkas	k O N k a s
konklusie	k O n k l y s i
konkreet	k O n k r i@ t
konkrete	k O N k r i@ t @
konkurrente	k O n k 9 r E n t @
konneksies	k u n E k s i s
konnotasie	k O n u t A: s i
konsekutief	k O n s E k y t i f
konsekwent	k O n s @ k w E n t
konsekwente	k O n s @ k w E n t @
konsekwentheid	k O n s @ k w E n t h\ @i t
konsensus	k O n s E n s 9 s
konsentrasie	k O n s E n t r A: s i
konsentrasiekamp	k O n s E n t r A: s i k a m p
konsentrasiekampe	k O n s E n t r A: s i k a m p @
konsentrasies	k O n s E n t r A: s i s
konsentreer	k O n s E n t r i@ r
konsentriese	k O n s E n t r i s @
konsep	k O n s E p
konsepbeleid	k O n s E p b @ l @i t
konsepgrondwet	k O n s E p x r O n t v E t
konsepsie	k O n s E p s i
konsepsionele	k O n s E p S iu n i@ l @
konsepte	k O n s E p t @
konseptueel	k O n s E p tS y i@ l
konseptuele	k O n s E p tS y i@ l @
konsepwet	k O n s E p v E t
konsepwetgewing	k O n s E p v E t x i@ v @ N
konsert	k O n s { r t
konserte	k O n s { r t @
konsertgangers	k O n s { r t x a N @ r s
konsertina	k O n s @ r t i n a
konsertprogram	k O n s { r t p r u x r a m
konsertreeks	k O n s { r t r i@ k s
konsertreis	k O n s { r t r @i s
konsertsaal	k O n s { r t s A: l
konsertsale	k O n s { r t s A: l @
konserttoer	k O n s { r t t u r
konserwatief	k O n s { r v a t i f
konserwatiewe	k O n s { r v a t i v @
konserwatisme	k O n s { r v a t @ s m @
konsessie	k O n s E s i
konsessiehouer	k O n s E s i h\ @u @ r
konsessiehouers	k O n s E s i h\ @u @ r s
konsessies	k O n s E s i s
konsolidasie	k O n s O l i d A: s i
konsolideer	k O n s O l i d i@ r
konsolidering	k O n s O l i d i@ r @ N
konsonante	k O n s u n a n t @
konsortium	k O n s O r t i 9 m
konstabel	k O n s t A: b @ l
konstabels	k O n s t A: b @ l s
konstant	k O n s t a n t
konstante	k O n s t a n t @
konstantes	k O n s t a n t @ s
konstateer	k O n s t a t i@ r
konstitusionele	k O n s t @ t y S iu n i@ l @
konstruk	k O n s t r 9 k
konstruksie	k O n s t r 9 k s i
konstruksiemaatskappy	k O n s t r 9 k s i m A: t s k a p @i
konstruksies	k O n s t r 9 k s i s
konstrukte	k O n s t r 9 k t @
konstruktief	k O n s t r 9 k t i f
konstruktiewe	k O n s t r 9 k t i v @
konstruktivistiese	k O n s t r 9 k t i v @ s t i s @
konstruktiwisme	k O n s t r 9 k t i v @ s m @
konsul	k O n s 9 l
konsulaat	k O n s 9 l A: t
konsultant	k O n s 9 l t a n t
konsultante	k O n s 9 l t a n t @
konsultasie	k O n s 9 l t A: s i
konsultasies	k O n s 9 l t A: s i s
konsulteer	k O n s 9 l t i@ r
kontak	k O n t a k
kontakbesonderhede	k O n t a k b @ s O n d @ r h\ i@ d @
kontakleerders	k O n t a k l i@ r d @ r s
kontaknommer	k O n t a k n O m @ r
kontaknommers	k O n t a k n O m @ r s
kontakperiode	k O n t a k p i@ r i u@ d @
kontakpersone	k O n t a k p @ r s u@ n @
kontakpersoon	k O n t a k p @ r s u@ n
kontaksessie	k O n t a k s E s i
kontakte	k O n t a k t @
kontaktye	k O n t a k t @i @
kontaminasie	k O n t a m i n A: s i
kontant	k O n t a n t
kontantbedrag	k O n t a n t b @ d r a x
kontantdividend	k O n t a n t d @ v @ d E n t
kontantposisie	k O n t a n t p u z i s i
kontantprys	k O n t a n t p r @i s
kontantpryse	k O n t a n t p r @i s @
kontantreserwes	k O n t a n t r @ z { r v @ s
kontantverkope	k O n t a n t f @ r k u@ p @
kontantvloei	k O n t a n t f l ui
kontantvloeiprobleme	k O n t a n t f l ui p r u b l i@ m @
konteks	k O n t E k s
konteksskepping	k O n t E k s s k E p @ N
kontekstualiseer	k O n t E k s tS u a l i s i@ r
kontekstualisering	k O n t E k s tS u a l i s i@ r @ N
kontekstuele	k O n t E k s tS y i@ l @
kontinent	k O n t i n E n t
kontinentale	k O n t i n E n t A: l @
kontinente	k O n t i n E n t @
kontingent	k O n t @ n x E n t
kontinu	k O n t i n y
kontinuïteit	k O n t i n y i t @i t
kontoere	k O n t u r @
kontra	k O n t r a
kontrak	k O n t r a k
kontraksies	k O n t r a k s i s
kontrakte	k O n t r a k t @
kontraktereg	k O n t r a k t @ r { x
kontrakterende	k O n t r a k t i@ r @ n d @
kontrakteur	k O n t r a k t 2: r
kontrakteurs	k O n t r a k t 2: r s
kontraktueel	k O n t r a k tS y i@ l
kontraktuele	k O n t r a k tS y i@ l @
kontrakwerk	k O n t r a k v { r k
kontrakwerkers	k O n t r a k v { r k @ r s
kontrapunt	k O n t r a p 9 n t
kontras	k O n t r a s
kontrasteer	k O n t r a s t i@ r
kontrasterende	k O n t r a s t i@ r @ n d @
kontrei	k O n t r @i
kontrole	k O n t r u@ l @
kontrolegroep	k O n t r u@ l @ x r u p
kontrolelys	k O n t r u@ l @ l @i s
kontrolering	k O n t r u l i@ r @ N
kontroles	k O n t r u@ l @ s
konvensie	k O n f E n s i
konvensies	k O n f E n s i s
konvensioneel	k O n f E n S iu n i@ l
konvensionele	k O n f E n S iu n i@ l @
konvergensie	k O n f @ r x E n s i
konvooi	k O n f O:i
konvulsies	k O n v 9 l s i s
kooi	k O:i
kook	k u@ k
kookboek	k u@ k b u k
kookolie	k u@ k u@ l i
kookpot	k u@ k p O t
kookpunt	k u@ k p 9 n t
kookpunte	k u@ k p 9 n t @
kookwater	k u@ k v A: t @ r
kool	k u@ l
koolhidrate	k u@ l h\ i d r A: t @
koolstofatoom	k u@ l s t O f a t u@ m
koolstofdioksied	k u@ l s t O f d i O k s i t
koolstofmonoksied	k u@ l s t O f m O n O k s i t
koolwaterstowwe	k u@ l v A: t @ r s t O v @
koop	k u@ p
koopbewys	k u@ p b @ v @i s
koophandel	k u@ p h\ a n d @ l
koopkrag	k u@ p k r a x
koopkragpariteit	k u@ p k r a x p a r i t @i t
koopman	k u@ p m a n
koopprys	k u@ p p r @i s
koopsom	k u@ p s O m
kooptransaksie	k u@ p t r a n s a k s i
koor	k u@ r
koordlose	k u@ r t l u@ s @
koorfees	k u@ r f i@ s
koorlede	k u@ r l i@ d @
koors	k u@ r s
koorsang	k u@ r s a N
koorsig	k u@ r s @ x
koos	k u@ s
kop	k O p
kopbeserings	k O p b @ s i@ r @ N s
koper	k u@ p @ r
koperdraad	k u@ p @ r d r A: t
kopers	k u@ p @ r s
kophou	k O p h\ @u
kopie	k u@ p i
kopiereg	k u@ p i r { x
kopieë	k u p i @
kopië	k u p i @
kopkrap	k O p k r a p
koppe	k O p @
koppel	k O p @ l
koppeling	k O p @ l @ N
koppelings	k O p @ l @ N s
koppeltekens	k O p @ l t i@ k @ n s
koppelvlak	k O p @ l f l a k
koppie	k O p i
koppies	k O p i s
koppige	k O p @ x @
kopseer	k O p s i@ r
kopskerm	k O p s k { r @ m
kopskoot	k O p s k u@ t
kopstukke	k O p s t 9 k @
kopstutte	k O p s t 9 t @
kopvel	k O p f { l
kopwond	k O p v O n t
koraal	k u r A: l
koraalriwwe	k u r A: l r @ v @
korale	k u r A: l @
kore	k u@ r @
koreaanse	k u r i A: n s @
korf	k O r f
koring	k u@ r @ N
korinte	k u@ r @ n t @
kornea	k O r n i a
koronêre	k O r u n { r @
korporaal	k O r p O r A: l
korporasie	k O r p O r A: s i
korporasies	k O r p O r A: s i s
korporatiewe	k O r p O r a t i v @
korps	k O r p s
korpus	k O r p 9 s
korrek	k O r E k
korrekte	k O r E k t @
korrektheid	k O r E k t h\ @i t
korrektief	k O r E k t i f
korrektiewe	k O r E k t i v @
korrel	k O r @ l
korrelasie	k O r @ l A: s i
korrels	k O r @ l s
korrespondensie	k O r E s p O n d E n s i
korrespondent	k O r E s p O n d E n t
korrespondente	k O r E s p O n d E n t @
korridor	k O r i d O r
korrigeer	k O r @ x i@ r
korrosie	k O r u@ s i
korrupsie	k u r 9 p s i
korrupte	k O r 9 p t @
kors	k O r s
kort	k O r t
kortaf	k O r t a f
kortasem	k O r t A: s @ m
kortbroek	k O r t b r u k
korte	k O r t @
korter	k O r t @ r
kortgeknip	k O r t x @ k n @ p
korting	k O r t @ N
kortisol	k O r t i s O l
kortisoon	k O r t i s u@ n
kortkop	k O r t k O p
kortliks	k O r t l @ k s
kortlys	k O r t l @i s
kortom	k O r t O m
kortsigtige	k O r t s @ x t @ x @
kortsluiting	k O r t s l 9y t @ N
kortspeler	k O r t s p i@ l @ r
kortste	k O r t s t @
kortstondig	k O r t s t O n d @ x
kortstondige	k O r t s t O n d @ x @
korttermyn	k O r t t { r m @i n
korttermyngeheue	k O r t t { r m @i n x @ h\ 2: @
korttermynversekering	k O r t t { r m @i n f @ r s i@ k @ r @ N
kortverhaalbundel	k O r t f @ r h\ A: l b 9 n d @ l
kortverhale	k O r t f @ r h\ A: l @
kortweg	k O r t v { x
kortwiek	k O r t v i k
korvette	k O r v E t @
kos	k O s
kosbaar	k O s b A: r
kosbaarste	k O s b A: r s t @
kosbare	k O s b A: r @
koshuis	k O s h\ 9y s
koshuise	k O s h\ 9y s @
koshuiskantoor	k O s h\ 9y s k a n t u@ r
kosmaak	k O s m A: k
kosmiese	k O s m i s @
kosmologie	k O s m u l u x i
kosmos	k O s m O s
kospotte	k O s p O t @
kosprys	k O s p r @i s
kospryse	k O s p r @i s @
kosskrywer	k O s s k r @i v @ r
kossoorte	k O s s u@ r t @
koste	k O s t @
kostebeheer	k O s t @ b @ h\ i@ r
kostebesparing	k O s t @ b @ s p A: r @ N
kostedoeltreffend	k O s t @ d u l t r E f @ n t
kostedoeltreffende	k O s t @ d u l t r E f @ n d @
kostelike	k O s t @ l @ k @
kosteloos	k O s t @ l u@ s
koster	k O s t @ r
kostes	k O s t @ s
kostestelsel	k O s t @ s t { l s @ l
kostuums	k O s t y m s
kosyn	k u s @i n
kothuis	k O t h\ 9y s
kou	k @u
koud	k @u t
koue	k @u @
kouend	k @u @ n t
kouer	k @u @ r
kougom	k @u x O m
koukus	k @u k 9 s
koukusvergadering	k @u k 9 s f @ r x A: d @ r @ N
kous	k @u s
kousale	k @u s A: l @
kousaliteit	k @u s a l i t @i t
kouse	k @u s @
koverte	k u v { r t @
koëffisiënt	k u i f i S i E n t
koöperasies	k u u@ p @ r A: s i s
koöperatief	k u u@ p @ r a t i f
koöpteer	k u O p t i@ r
koördinasie	k u O r d i n A: s i
koördinate	k u O r d i n A: t @
koördineer	k u O r d i n i@ r
koördinering	k u O r d i n i@ r @ N
kraag	k r A: x
kraai	k r A:i
kraaie	k r A:i @
kraak	k r A: k
kraakbeen	k r A: k b i@ n
kraakvars	k r A: k f a r s
kraal	k r A: l
kraampie	k r A: m p i
kraampies	k r A: m p i s
kraamsaal	k r A: m s A: l
kraan	k r A: n
kraans	k r A: n s
kraanse	k r A: n s @
kraantjie	k r A:i N k i
krag	k r a x
kragbote	k r a x b u@ t @
kragbron	k r a x b r O n
kragdadig	k r a x d A: d @ x
kragdadige	k r a x d A: d @ x @
kragdrade	k r a x d r A: d @
kraglewering	k r a x l i@ v @ r @ N
kragman	k r a x m a n
kragmeting	k r a x m i@ t @ N
kragmetings	k r a x m i@ t @ N s
kragonderbrekings	k r a x O n d @ r b r i@ k @ N s
kragopwekker	k r a x O p v E k @ r
kragopwekkers	k r a x O p v E k @ r s
kragsentrales	k r a x s E n t r A: l @ s
kragstasies	k r a x s t A: s i s
kragstuur	k r a x s t y r
kragte	k r a x t @
kragtens	k r a x t @ n s
kragtig	k r a x t @ x
kragtige	k r a x t @ x @
kragtiger	k r a x t @ x @ r
kragtoer	k r a x t u r
kragtoevoer	k r a x t u f u r
krake	k r A: k @
krale	k r A: l @
kramer	k r A: m @ r
krampagtig	k r a m p a x t @ x
krampe	k r a m p @
krane	k r A: n @
kranig	k r A: n @ x
kranige	k r A: n @ x @
krans	k r A: n s
kranse	k r a n s @
krap	k r a p
krappies	k r a p i s
kras	k r a s
krat	k r a t
krater	k r A: t @ r
kratte	k r a t @
kreatief	k r i a t i f
kreatiewe	k r i a t i v @
kreatiwiteit	k r i a t i v i t @i t
krediet	k r @ d i t
kredietburo	k r @ d i t b y r u@
krediete	k r @ d i t @
kredietgeriewe	k r @ d i t x @ r i v @
kredietkaart	k r @ d i t k A: r t
kredietkaarte	k r @ d i t k A: r t @
kredietkant	k r @ d i t k a n t
kredietnotas	k r @ d i t n u@ t a s
kredietverkope	k r @ d i t f @ r k u@ p @
kredietverlening	k r @ d i t f @ r l i@ n @ N
kredietwaardigheid	k r @ d i t v A: r d @ x h\ @i t
kredietwet	k r @ d i t v E t
krediteer	k r E d i t i@ r
krediteur	k r E d i t 2: r
krediteure	k r E d i t 2: r @
krediteurekontrole	k r E d i t 2: r @ k O n t r u@ l @
kreef	k r i@ f
kreun	k r 2: n
kreungeluidjies	k r 2: n x @ l 9y k i s
kreupeles	k r 2: p @ l @ s
krewe	k r i@ v @
kriek	k r i k
krieke	k r i k @
krieket	k r i k @ t
krieketbase	k r i k @ t b A: s @
krieketkaptein	k r i k @ t k a p t @i n
krieketklub	k r i k @ t k l 9 b
krieketraad	k r i k @ t r A: t
krieketseisoen	k r i k @ t s @i s u n
krieketspan	k r i k @ t s p a n
krieketspanne	k r i k @ t s p a n @
krieketspeler	k r i k @ t s p i@ l @ r
krieketspelers	k r i k @ t s p i@ l @ r s
kriekettoets	k r i k @ t t u t s
krieketunie	k r i k @ t y n i
krieketveld	k r i k @ t f { l t
krieketwedstryd	k r i k @ t v E t s t r @i t
krieketwedstryde	k r i k @ t v E t s t r @i d @
kriewel	k r i v @ l
kriewelrig	k r i v @ l r @ x
krimineel	k r @ m i n i@ l
kriminele	k r @ m i n i@ l @
kriminologie	k r @ m @ n u l u x i
kriminoloog	k r @ m @ n u l u@ x
krimp	k r @ m p
kring	k r @ N
kringe	k r @ N @
kringetjie	k r @ N i k i
kringloop	k r @ N l u@ p
krip	k r @ p
kris	k r @ s
krisis	k r i s @ s
krisisintervensie	k r i s @ s @ n t @ r f E n s i
krisisse	k r i s @ s @
krisjan	k r @ s j a n
kristal	k r @ s t a l
kriteria	k r @ t i@ r i a
kriterium	k r @ t i@ r i 9 m
kritici	k r i t i s i
kritiek	k r @ t i k
kritieke	k r @ t i k @
krities	k r i t i s
kritiese	k r i t i s @
kritikus	k r i t i k 9 s
kritiseer	k r i t i s i@ r
kroate	k r u A: t @
kroeg	k r u x
kroegtoonbank	k r u x t u@ n b a N k
krokodil	k r O k u d @ l
krokodille	k r O k u d @ l @
krom	k r O m
krommes	k r O m @ s
kromrivierkloof	k r O m r @ f i r k l u@ f
krone	k r u@ n @
kroniek	k r u@ n i k
kroniese	k r u@ n i s @
kroning	k r u@ n @ N
kronkelende	k r O N k @ l @ n d @
kronkels	k r O N k @ l s
kronkelvere	k r O N k @ l f i@ r @
kroon	k r u@ n
kroonprins	k r u@ n p r @ n s
kroos	k r u@ s
krop	k r O p
kru	k r y
krugerrande	k r y @ r a n d @
kruideniersware	k r 9y d @ n i r s v A: r @
kruie	k r 9y @
kruik	k r 9y k
kruin	k r 9y n
kruip	k r 9y p
kruis	k r 9y s
kruisbestuiwing	k r 9y s b @ s t 9y v @ N
kruisboog	k r 9y s b u@ x
kruisdood	k r 9y s d u@ t
kruise	k r 9y s @
kruisie	k r 9y s i
kruisig	k r 9y s @ x
kruisiging	k r 9y s @ x @ N
kruising	k r 9y s @ N
kruisings	k r 9y s @ N s
kruiskulturele	k r 9y s k 9 l t y r i@ l @
kruisondervraging	k r 9y s O n d @ r f r A: x @ N
kruispad	k r 9y s p a t
kruistogte	k r 9y s t O x t @
kruisvaarders	k r 9y s f A: r d @ r s
kruisvuur	k r 9y s f y r
kruitvat	k r 9y t f a t
kruiwa	k r 9y v A:
krukke	k r 9 k @
kry	k r @i
krygers	k r @i x @ r s
krygsgevangenes	k r @i x s x @ f a N @ n @ s
krygsheer	k r @i x s h\ i@ r
krygshere	k r @i x s h\ i@ r @
krygswet	k r @i x s v E t
kryt	k r @i t
krytvloer	k r @i t f l u r
kubaanse	k y b A: n s @
kubieke	k y b i k @
kudde	k 9 d @
kuddes	k 9 d @ s
kug	k 9 x
kuier	k 9y @ r
kuierplek	k 9y @ r p l { k
kuierplekke	k 9y @ r p l { k @
kuiertjie	k 9y @ r k i
kuiertye	k 9y @ r t @i @
kuif	k 9y f
kuifie	k 9y f i
kuikens	k 9y k @ n s
kuil	k 9y l
kuipe	k 9y p @
kuit	k 9y t
kuitbesering	k 9y t b @ s i@ r @ N
kuite	k 9y t @
kuitspier	k 9y t s p i r
kulkunstenaar	k 9 l k 9 n s t @ n A: r
kullery	k 9 l @ r @i
kulmineer	k 9 l m @ n i@ r
kulture	k 9 l t y r @
kulturele	k 9 l t y r i@ l @
kultus	k 9 l t 9 s
kultuur	k 9 l t y r
kultuurerfenis	k 9 l t y r { r f @ n @ s
kultuurgeskiedenis	k 9 l t y r x @ s k i d @ n @ s
kultuurgroep	k 9 l t y r x r u p
kultuurhistoriese	k 9 l t y r h\ i s t u@ r i s @
kultuurkennis	k 9 l t y r k E n @ s
kultuurorganisasie	k 9 l t y r O r x a n i s A: s i
kultuurorganisasies	k 9 l t y r O r x a n i s A: s i s
kultuursake	k 9 l t y r s A: k @
kultuursentrum	k 9 l t y r s E n t r 9 m
kultuurstudies	k 9 l t y r s t y d i s
kultuurtaal	k 9 l t y r t A: l
kultuurvereniging	k 9 l t y r f @ r i@ n @ x @ N
kultuurvereniginge	k 9 l t y r f @ r i@ n @ x @ N @
kultuurverskeidenheid	k 9 l t y r f @ r s k @i d @ n h\ @i t
kumulatiewe	k y m y l a t i v @
kundige	k 9 n d @ x @
kundiges	k 9 n d @ x @ s
kundigheid	k 9 n d @ x h\ @i t
kuns	k 9 n s
kunsbesef	k 9 n s b @ s E f
kunsfees	k 9 n s f i@ s
kunsgalery	k 9 n s x a l @ r @i
kunsgeskiedenis	k 9 n s x @ s k i d @ n @ s
kunskafee	k 9 n s k a f i@
kunsliedere	k 9 n s l i d @ r @
kunsliefhebbers	k 9 n s l i f h\ E b @ r s
kunsmark	k 9 n s m a r k
kunsmatig	k 9 n s m A: t @ x
kunsmatige	k 9 n s m A: t @ x @
kunsmis	k 9 n s m @ s
kunsmuseum	k 9 n s m y s 2: m
kunsmusiek	k 9 n s m 9 s i k
kunssaal	k 9 n s s A: l
kunssale	k 9 n s s A: l @
kunsskool	k 9 n s s k u@ l
kunste	k 9 n s t @
kunstefees	k 9 n s t @ f i@ s
kunstegebou	k 9 n s t @ x @ b @u
kunstekaap	k 9 n s t @ k A: p
kunstenaar	k 9 n s t @ n A: r
kunstenaars	k 9 n s t @ n A: r s
kunstenaarskap	k 9 n s t @ n A: r s k a p
kunstenares	k 9 n s t @ n a r E s
kunsteraad	k 9 n s t @ r A: t
kunstig	k 9 n s t @ x
kunstige	k 9 n s t @ x @
kunsuitstalling	k 9 n s 9y t s t a l @ N
kunsuitstallings	k 9 n s 9y t s t a l @ N s
kunsvereniging	k 9 n s f @ r i@ n @ x @ N
kunsversameling	k 9 n s f @ r s A: m @ l @ N
kunsvorm	k 9 n s f O r @ m
kunsvorme	k 9 n s f O r @ m @
kunswerk	k 9 n s v { r k
kunswerke	k 9 n s v { r k @
kupido	k u p i d @u
kurator	k y r A: t O r
kuratore	k y r a t u@ r @
kurators	k y r A: t O r s
kurpers	k 9 r p @ r s
kurrikulering	k 9 r i k y l i@ r @ N
kurrikulum	k 9 r i k y l 9 m
kursus	k 9 r s 9 s
kursusdosent	k 9 r s 9 s d u s E n t
kursuseenheid	k 9 r s 9 s i@ n h\ @i t
kursusgangers	k 9 r s 9 s x a N @ r s
kursusinhoud	k 9 r s 9 s @ n h\ @u t
kursusmateriaal	k 9 r s 9 s m a t i@ r i A: l
kursusse	k 9 r s 9 s @
kursuswerk	k 9 r s 9 s v { r k
kurwe	k 9 r v @
kurwes	k 9 r v @ s
kus	k 9 s
kusdorp	k 9 s d O r p
kusgebied	k 9 s x @ b i t
