can't	k> a n t>
netefadiwa	n E t> E f a d i w a
netefaleditse	n E t> E f a l E d i ts> E
netefalediwa	n E t> E f a l E d i w a
netefaletsa	n E t> E f a l E ts> a
netefaletso	n E t> E f a l E ts> O
netefaletsong	n E t> E f a l E ts> O N
netefatsa	n E t> E f a ts> a
netefatsang	n E t> E f a ts> a N
netefatse	n E t> E f a ts> E
netefatseng	n E t> E f a ts> E N
netefatso	n E t> E f a ts> O
netefatsong	n E t> E f a ts> O N
netefatswa	n E t> E f a ts> w a
netefatswang	n E t> E f a ts> w a N
netse	n E ts> E
newa	n E w a
newang	n E w a N
ngadile	N a d i l E
ngakeng	N a k> E N
ngala	N a l a
ngaletse	N a l E ts> E
ngami	N a m i
ngamoga	N a m O x a
ngamotse	N a m O ts> E
nganga	N a N a
ngangela	N a N x E l a
ngangisana	N a N i s a n a
ngangisanang	N a N i s a n a N
ngangisano	N a N i s a n O
ngangisanong	N a N i s a n O N
ngangisanwa	N a N i s a n w a
ngangisanwang	N a N i s a n w a N
ngapa	N a p> a
ngapang	N a p> a N
ngaparela	N a p> a r E l a
ngaparetsa	N a p> a r E ts> a
ngaparetse	N a p> a r E ts> E
ngapilweng	N a p> i l w E N
ngatana	N a t> a n a
ngata	N a t> a
ngatega	N a t> E x a
ngategile	N a t> E x i l E
ngati	N a t> i
ngoba	N O b a
ngodiega	N O d i E x a
ngodiegong	N O d i E x O N
ngodiego	N O d i E x O
ngogola	N O x O l a
ngokang	N O k> a N
ngoka	N O k> a
ngokelang	N O k> E l a N
ngokela	N O k> E l a
ngoke	N O k> E
ngokile	N O k> i l E
ngokiwang	N O k> i w a N
ngokiwa	N O k> i w a
ngokwa	N O k> w a
ngololo	N O l O l O
ngolwana	N O l w a n a
ngomaela	N O m a E l a
ngongora	N O N O r a
ngongoregang	N O N O r E x a N
ngongorega	N O N O r E x a
ngongoregelang	N O N O r E x E l a N
ngongoregela	N O N O r E x E l a
ngongoregile	N O N O r E x i l E
ngongoregisiwang	N O N O r E x i s i w a N
ngongoregong	N O N O r E x O N
ngongorego	N O N O r E x O
ngotlafatsa	N O tl> a f a ts> a
ngotla	N O tl> a
ngotlegang	N O tl> E x a N
ngotlega	N O tl> E x a
ngotle	N O tl> E
ngotlile	N O tl> i l E
ngotlilweng	N O tl> i l w E N
ngotliwa	N O tl> i w a
ngunanguna	N u n a N u n a
ngwagakgolong	N w a x a kx O l O N
ngwagakgolo	N w a x a kx O l O
ngwagang	N w a x a N
ngwagasomeng	N w a x a s O m E N
ngwagasome	N w a x a s O m E
ngwagatlola	N w a x a tl> O l a
ngwageng	N w a x E N
ngwagola	N w a x O l a
ngwako	N w a k> O
ngwanaitseele	N w a n a i ts> E E l E
ngwanaka	N w a n a k> a
ngwanake	N w a n a k> E
ngwaneng	N w a n E N
ngwanyana	N w a J a n a
ngwaong	N w a O N
ngwao	N w a O
ngweding	N w E d i N
ngwedi	N w E d i
ngwega	N w E x a
ngwetsing	N w E ts> i N
ngwetsi	N w E ts> i
nitamang	n i t> a m a N
nitama	n i t> a m a
nitameng	n i t> a m E N
nitamisang	n i t> a m i s a N
nitamisa	n i t> a m i s a
nitamong	n i t> a m O N
nitamo	n i t> a m O
nja	n d0Z a
njela	n d0Z E l a
njesa	n d0Z E s a
njetse	n d0Z E ts> E
njo	n d0Z O
nkabo	n k> a b O
nkamang	n k> a m a N
nkamoga	n k> a m O x a
nkane	n k> a n E
nka	n k> a
nkapoleng	n k> a p> O l E N
nkaraba	n k> a r a b a
nkarabeng	n k> a r a b E N
nkarabe	n k> a r a b E
nkarabile	n k> a r a b i l E
nkatle	n k> a tl> E
nkeletsa	n k> E l E ts> a
nkemeleng	n k> E m E l E N
nkeme	n k> E m E
nkemisa	n k> E m i s a
nke	n k> E
nkgaisa	n kx a i s a
nkgakelang	n kx a k> E l a N
nkgakile	n kx a k> i l E
nkganang	n kx a n a N
nkgang	n kx a N
nkga	n kx a
nkgelela	n kx E l E l a
nkgogetse	n kx O x E ts> E
nkgolola	n kx O l O l a
nkgomotsa	n kx O m O ts> a
nkgomotse	n kx O m O ts> E
nkgong	n kx O N
nkgonne	n kx O n n E
nkgopola	n kx O p> O l a
nkgopotse	n kx O p> O ts> E
nkgoreletsa	n kx O r E l E ts> a
nkgwana	n kx w a n a
nkile	n k> i l E
nkisa	n k> i s a
nkise	n k> i s E
nkitla	n k> i tl> a
nkitseng	n k> i ts> E N
nkitse	n k> i ts> E
nkitsise	n k> i ts> i s E
nkitsitse	n k> i ts> i ts> E
nkoba	n k> O b a
nkobeng	n k> O b E N
nkokoabona	n k> O k> O a b O n a
nkokoago	n k> O k> O a x O
nkokoagwe	n k> O k> O a x w E
nkoko	n k> O k> O
nkong	n k> O N
nko	n k> O
nkopa	n k> O p> a
nkopile	n k> O p> i l E
nku	n k> u
nkutlwa	n k> u tl> w a
nkutlwelele	n k> u tl> w E l E l E
nkutlwe	n k> u tl> w E
nkutlwile	n k> u tl> w i l E
nkutlwisa	n k> u tl> w i s a
nkwana	n k> w a n a
nkwe	n k> w E
nnaka	n n a k> a
nnake	n n a k> E
nnale	n n a l E
nnalete	n n a l E t> E
nnana	n n a n a
nnang	n n a N
nna	n n a
nnayang	n n a j a N
nnaya	n n a j a
nneileng	n n E i l E N
nnelang	n n E l a N
nnela	n n E l a
nnele	n n E l E
nneng	n n E N
nne	n n E
nneteng	n n E t> E N
nnete	n n E t> E
nnetse	n n E ts> E
nngoba	n N O b a
nngweng	n N w E N
nngwe	n N w E
nngwetharong	n N w E th a r O N
nnileng	n n i l E N
nnile	n n i l E
nnisega	n n i s E x a
nniwang	n n i w a N
nniwa	n n i w a
nno	n n O
nnotagi	n n O t> a x i
nnoto	n n O t> O
nnwa	n n w a
nnyaa	n J a
nnyala	n J a l a
nnyane	n J a n E
nnyatsa	n J a ts> a
nnyaya	n J a j a
nnye	n J E
nnyennyane	n J E n J a n E
noga	n O x a
nokana	n O k> a n a
noka	n O k> a
nokeng	n O k> E N
nokong	n O k> O N
noko	n O k> O
nole	n O l E
nolofaditsweng	n O l O f a d i ts> w E N
nolofaletsa	n O l O f a l E ts> a
nolofatsang	n O l O f a ts> a N
nolofatsa	n O l O f a ts> a
nolofatse	n O l O f a ts> E
nolofatso	n O l O f a ts> O
nolofetse	n O l O f E ts> E
nomoreng	n O m O r E N
nomore	n O m O r E
nomorong	n O m O r O N
nona	n O n a
nong	n O N
nongonanongona	n O N O n a n O N O n a
nonneng	n O n n E N
nonne	n O n n E
nonofang	n O n O f a N
nonofa	n O n O f a
nonofetseng	n O n O f E ts> E N
nonofileng	n O n O f i l E N
nonofile	n O n O f i l E
nonofong	n O n O f O N
nonofo	n O n O f O
nonotsha	n O n O tsh a
nonotshitsweng	n O n O tsh i ts> w E N
nonotshwa	n O n O tsh w a
nontsha	n O n tsh a
nontshe	n O n tsh E
nonyane	n O J a n E
noolwane	n O O l w a n E
nopola	n O p> O l a
nopole	n O p> O l E
nopolo	n O p> O l O
nopolwa	n O p> O l w a
nopotse	n O p> O ts> E
nosa	n O s a
nosediwang	n O s E d i w a N
nosediweng	n O s E d i w E N
nosetsang	n O s E ts> a N
nosetsa	n O s E ts> a
nosetsong	n O s E ts> O N
nosetso	n O s E ts> O
nosi	n O s i
nositseng	n O s i ts> E N
nositsweng	n O s i ts> w E N
nosiwang	n O s i w a N
nosiwa	n O s i w a
nosiweng	n O s i w E N
nota	n O t> a
notlelang	n O tl> E l a N
notleletswe	n O tl> E l E ts> w E
notlelwa	n O tl> E l w a
notletswe	n O tl> E ts> w E
notlolola	n O tl> O l O l a
noto	n O t> O
nowang	n O w a N
nowa	n O w a
ntaela	n t> a E l a
nta	n t> a
ntaoleng	n t> a O l E N
ntapisitse	n t> a p> i s i ts> E
ntata	n t> a t> a
ntate	n t> a t> E
ntatlhela	n t> a tlh E l a
ntebane	n t> E b a n E
nteba	n t> E b a
ntebile	n t> E b i l E
ntekaneng	n t> E k> a n E N
ntekwane	n t> E k> w a n E
nteletsa	n t> E l E ts> a
nteletse	n t> E l E ts> E
ntemositse	n t> E m O s i ts> E
ntena	n t> E n a
ntenne	n t> E n n E
nte	n t> E
nteofetse	n t> E O f E ts> E
ntetla	n t> E tl> a
ntetleleleng	n t> E tl> E l E l E N
ntetleng	n t> E tl> E N
ntetle	n t> E tl> E
ntha	n th a
nthapela	n th a p> E l a
nthapelele	n th a p> E l E l E
nthata	n th a t> a
nthate	n th a t> E
nthatile	n th a t> i l E
nthaya	n th a j a
ntheetse	n th E E ts> E
nthekela	n th E k> E l a
nthekiseditseng	n th E k> i s E d i ts> E N
ntheye	n th E j E
nthibele	n th i b E l E
nthobile	n th O b i l E
nthola	n th O l a
nthomileng	n th O m i l E N
ntho	n th O
nthusang	n th u s a N
nthusa	n th u s a
nthuse	n th u s E
nthusitse	n th u s i ts> E
nthutileng	n th u t> i l E N
nthutile	n th u t> i l E
ntigela	n t> i x E l a
ntilola	n t> i l O l a
ntiragalela	n t> i r a x a l E l a
ntira	n t> i r a
ntirelang	n t> i r E l a N
ntirela	n t> i r E l a
ntirele	n t> i r E l E
ntire	n t> i r E
ntiretse	n t> i r E ts> E
ntirile	n t> i r i l E
ntlafatsa	n tl> a f a ts> a
ntlamparela	n tl> a m p> a r E l a
ntlela	n tl> E l a
ntle	n tl> E
ntlentle	n tl> E n tl> E
ntletsentletse	n tl> E ts> E n tl> E ts> E
ntlhaba	n tlh a b a
ntlhabela	n tlh a b E l a
ntlhabele	n tlh a b E l E
ntlhakgolo	n tlh a kx O l O
ntlhaloganya	n tlh a l O x a J a
ntlhaloganye	n tlh a l O x a J E
ntlhalosetsa	n tlh a l O s E ts> a
ntlhalosetse	n tlh a l O s E ts> E
ntlhana	n tlh a n a
ntlhaneng	n tlh a n E N
ntlhang	n tlh a N
ntlhanngwe	n tlh a n N w E
ntlha	n tlh a
ntlhantlha	n tlh a n tlh a
ntlhanyana	n tlh a J a n a
ntlhapopo	n tlh a p> O p> O
ntlhatharong	n tlh a th a r O N
ntlhatharo	n tlh a th a r O
ntlhatswa	n tlh a ts> w a
ntlhayang	n tlh a j a N
ntlheng	n tlh E N
ntlhe	n tlh E
ntlholela	n tlh O l E l a
ntlhomola	n tlh O m O l a
ntlhopheng	n tlh O ph E N
ntlhwa	n tlh w a
ntloboithusetso	n tl> O b O i th u s E ts> O
ntlogetse	n tl> O x E ts> E
ntlokgolo	n tl> O kx O l O
ntlolehalahala	n tl> O l E h a l a h a l a
ntlong	n tl> O N
ntlo	n tl> O
ntlotle	n tl> O tl> E
ntlotlile	n tl> O tl> i l E
ntlwaetseng	n tl> w a E ts> E N
ntlwana	n tl> w a n a
ntlwaneng	n tl> w a n E N
ntomeletsa	n t> O m E l E ts> a
ntomile	n t> O m i l E
ntsalaagwe	n ts> a l a x w E
ntsalao	n ts> a l a O
ntsaneng	n ts> a n E N
ntsane	n ts> a n E
ntsaya	n ts> a j a
ntseela	n ts> E E l a
ntseele	n ts> E E l E
ntseetse	n ts> E E ts> E
ntseisa	n ts> E i s a
ntsene	n ts> E n E
ntseng	n ts> E N
ntse	n ts> E
ntsentse	n ts> E n ts> E
ntsenya	n ts> E J a
ntsetseng	n ts> E ts> E N
ntsetse	n ts> E ts> E
ntshaba	n tsh a b a
ntšhafatsa	n tSh a f a ts> a
ntšhafatso	n tSh a f a ts> O
ntshala	n tsh a l a
ntshaleng	n tsh a l E N
ntshana	n tsh a n a
ntshang	n tsh a N
ntsha	n tsh a
ntšha	n tSh a
ntsheditsweng	n tsh E d i ts> w E N
ntsheditswe	n tsh E d i ts> w E
ntshediwa	n tsh E d i w a
ntshegetsa	n tsh E x E ts> a
ntshegetse	n tsh E x E ts> E
ntshelele	n tsh E l E l E
ntsheng	n tsh E N
ntshe	n tsh E
ntshetsana	n tsh E ts> a n a
ntshetsang	n tsh E ts> a N
ntshetsa	n tsh E ts> a
ntshetseng	n tsh E ts> E N
ntshetse	n tsh E ts> E
ntshetsontle	n tsh E ts> O n tl> E
ntshetswa	n tsh E ts> w a
ntshia	n tsh i a
ntshitseng	n tsh i ts> E N
ntshitse	n tsh i ts> E
ntshitsweng	n tsh i ts> w E N
ntshitswe	n tsh i ts> w E
ntshiwang	n tsh i w a N
ntshiwa	n tsh i w a
ntshiweng	n tsh i w E N
ntshiwe	n tsh i w E
ntshofadiwa	n tsh O f a d i w a
ntshoganyeditse	n tsh O x a J E d i ts> E
ntsholela	n tsh O l E l a
ntsho	n tsh O
ntshosa	n tsh O s a
ntshosetsang	n tsh O s E ts> a N
ntshosetsa	n tsh O s E ts> a
ntshositse	n tsh O s i ts> E
ntshothwane	n tsh O th w a n E
ntšhotšho	n tSh O tSh O
ntshung	n tsh u N
ntshwabise	n tsh w a b i s E
ntshwabisitse	n tsh w a b i s i ts> E
ntšhwafadiweng	n tSh w a f a d i w E N
ntshwafatsa	n tsh w a f a ts> a
ntšhwafatsa	n tSh w a f a ts> a
ntšhwafatsong	n tSh w a f a ts> O N
ntšhwafatso	n tSh w a f a ts> O
ntshwafatswa	n tsh w a f a ts> w a
ntshwanela	n tsh w a n E l a
ntshwa	n tsh w a
ntšhwa	n tSh w a
ntshwara	n tsh w a r a
ntshwentse	n tsh w E n ts> E
ntšhwe	n tSh w E
ntshwenyang	n tsh w E J a N
ntshwenya	n tsh w E J a
ntsifadiwa	n ts> i f a d i w a
ntsifala	n ts> i f a l a
ntsifalo	n ts> i f a l O
ntsifatsa	n ts> i f a ts> a
ntsifatso	n ts> i f a ts> O
ntsimane	n ts> i m a n E
ntsime	n ts> i m E
ntsi	n ts> i
ntsintsi	n ts> i n ts> i
ntsinyana	n ts> i J a n a
ntsitsibanya	n ts> i ts> i b a J a
ntsoma	n ts> O m a
ntswalang	n ts> w a l a N
ntswa	n ts> w a
ntšwa	n tS> w a
ntswela	n ts> w E l a
ntswele	n ts> w E l E
ntswe	n ts> w E
ntswetse	n ts> w E ts> E
ntuela	n t> u E l a
ntumedisang	n t> u m E d i s a N
ntumela	n t> u m E l a
ntwa	n t> w a
ntweng	n t> w E N
nwaa	n w a
nwang	n w a N
nwa	n w a
nwela	n w E l a
nweng	n w E N
nwe	n w E
nwetse	n w E ts> E
nwewang	n w E w a N
nyaa	J a
nyadisa	J a d i s a
nyadisang	J a d i s a N
nyadisitswe	J a d i s i ts> w E
nyadisiwa	J a d i s i w a
nyaditse	J a d i ts> E
nyadiwa	J a d i w a
nyadiweng	J a d i w E N
nya	J a
nyala	J a l a
nyalana	J a l a n a
nyalanang	J a l a n a N
nyalane	J a l a n E
nyalaneng	J a l a n E N
nyalang	J a l a N
nyalanngwa	J a l a n N w a
nyalanngwang	J a l a n N w a N
nyalano	J a l a n O
nyalanya	J a l a J a
nyalanyo	J a l a J O
nyalegile	J a l E x i l E
nyale	J a l E
nyalelana	J a l E l a n a
nyalelanang	J a l E l a n a N
nyalelane	J a l E l a n E
nyalo	J a l O
nyalong	J a l O N
nyalwa	J a l w a
nyalwang	J a l w a N
nyalwe	J a l w E
nyana	J a n a
nyatsa	J a ts> a
nyatsang	J a ts> a N
nyatse	J a ts> E
nyatseng	J a ts> E N
nyatsi	J a ts> i
nyaya	J a j a
nyeba	J E b a
nyeleditswe	J E l E d i ts> w E
nyeleditsweng	J E l E d i ts> w E N
nyelediwa	J E l E d i w a
nyelediwang	J E l E d i w a N
nyelediweng	J E l E d i w E N
nyelela	J E l E l a
nyelelang	J E l E l a N
nyeleleng	J E l E l E N
nyelelong	J E l E l O N
nyeletsa	J E l E ts> a
nyeletse	J E l E ts> E
nyeletso	J E l E ts> O
nyeletsong	J E l E ts> O N
nyema	J E m a
nyemile	J E m i l E
nyemisa	J E m i s a
nyemisang	J E m i s a N
nyenya	J E J a
nyenyefadiwa	J E J E f a d i w a
nyenyefatsa	J E J E f a ts> a
nyenyefatsang	J E J E f a ts> a N
nyenyefatsong	J E J E f a ts> O N
nyetse	J E ts> E
nyetseng	J E ts> E N
nyetswe	J E ts> w E
nyetsweng	J E ts> w E N
nyorelwa	J O r E l w a
nyorilwe	J O r i l w E
nyorwa	J O r w a
obamelang	O b a m E l a N
obamela	O b a m E l a
obameleng	O b a m E l E N
obamele	O b a m E l E
obamelwa	O b a m E l w a
obamelwe	O b a m E l w E
obametswe	O b a m E ts> w E
oba	O b a
obega	O b E x a
obege	O b E x E
obene	O b E n E
obe	O b E
oboga	O b O x a
obola	O b O l a
oborolo	O b O r O l O
obotse	O b O ts> E
ofe	O f E
okamang	O k> a m a N
okama	O k> a m a
okamela	O k> a m E l a
okamelwa	O k> a m E l w a
okameng	O k> a m E N
okame	O k> a m E
okametse	O k> a m E ts> E
okametsweng	O k> a m E ts> w E N
oka	O k> a
okaoka	O k> a O k> a
okeditseng	O k> E d i ts> E N
okeditse	O k> E d i ts> E
okeditsweng	O k> E d i ts> w E N
okeditswe	O k> E d i ts> w E
okediwang	O k> E d i w a N
okediwa	O k> E d i w a
okediwe	O k> E d i w E
okeletsa	O k> E l E ts> a
oketsang	O k> E ts> a N
oketsa	O k> E ts> a
oketsegang	O k> E ts> E x a N
oketsega	O k> E ts> E x a
oketsege	O k> E ts> E x E
oketsegileng	O k> E ts> E x i l E N
oketsegile	O k> E ts> E x i l E
oketseng	O k> E ts> E N
oketse	O k> E ts> E
oketswa	O k> E ts> w a
okobala	O k> O b a l a
okobatsang	O k> O b a ts> a N
okobatsa	O k> O b a ts> a
okola	O k> O l a
okomela	O k> O m E l a
okomele	O k> O m E l E
okometse	O k> O m E ts> E
okosijene	O k> O s i d0Z E n E
olela	O l E l a
oleng	O l E N
omana	O m a n a
omanwa	O m a n w a
omanya	O m a J a
oma	O m a
omelela	O m E l E l a
omeletse	O m E l E ts> E
omileng	O m i l E N
omile	O m i l E
omisang	O m i s a N
omisa	O m i s a
omisitsweng	O m i s i ts> w E N
omisiwang	O m i s i w a N
omisiwa	O m i s i w a
onala	O n a l a
ona	O n a
onetseng	O n E ts> E N
onetse	O n E ts> E
ongwe	O N w E
ono	O n O
oobedi	O O b E d i
oomabedi	O O m a b E d i
oo	O O
opafaditsweng	O p> a f a d i ts> w E N
opafatsang	O p> a f a ts> a N
opafatsa	O p> a f a ts> a
opafatso	O p> a f a ts> O
opaopa	O p> a O p> a
opelang	O p> E l a N
opela	O p> E l a
opelela	O p> E l E l a
opelelwa	O p> E l E l w a
opelwang	O p> E l w a N
opelwa	O p> E l w a
ope	O p> E
opetse	O p> E ts> E
opile	O p> i l E
opisa	O p> i s a
osi	O s i
ota	O t> a
otla	O tl> a
otlhaelwa	O tlh a E l w a
otlhaiwang	O tlh a i w a N
otlhaiwa	O tlh a i w a
otlhaiwe	O tlh a i w E
otlhaya	O tlh a j a
otlhe	O tlh E
otlile	O tl> i l E
otlilweng	O tl> i l w E N
otliwa	O tl> i w a
otlolola	O tl> O l O l a
otong	O t> O N
otsela	O ts> E l a
outse	O u ts> E
owaai	O w a i
paakanyetsong	p> a k> a J E ts> O N
paakanyetso	p> a k> a J E ts> O
paakanyong	p> a k> a J O N
paakanyo	p> a k> a J O
pabalelong	p> a b a l E l O N
pabalelo	p> a b a l E l O
pabalesegong	p> a b a l E s E x O N
pabalesego	p> a b a l E s E x O
padimotse	p> a d i m O ts> E
padi	p> a d i
pagama	p> a x a m a
pagameng	p> a x a m E N
pagamisa	p> a x a m i s a
pagolola	p> a x O l O l a
pagololwa	p> a x O l O l w a
pakajaanong	p> a k> a d0Z a n O N
pakana	p> a k> a n a
pakang	p> a k> a N
paka	p> a k> a
pakatiro	p> a k> a t> i r O
pakela	p> a k> E l a
pakeng	p> a k> E N
paketsweng	p> a k> E ts> w E N
pakileng	p> a k> i l E N
pakilweng	p> a k> i l w E N
pakilwe	p> a k> i l w E
paki	p> a k> i
pakiwang	p> a k> i w a N
pakiwa	p> a k> i w a
pako	p> a k> O
palama	p> a l a m a
palameng	p> a l a m E N
palamenteng	p> a l a m E n t> E N
palamente	p> a l a m E n t> E
palame	p> a l a m E
palamisa	p> a l a m i s a
palamiwa	p> a l a m i w a
palamonwana	p> a l a m O n w a n a
palangwa	p> a l a N w a
pala	p> a l a
paledisang	p> a l E d i s a N
paledisa	p> a l E d i s a
palela	p> a l E l a
palelong	p> a l E l O N
palelo	p> a l E l O
palelwa	p> a l E l w a
palelweng	p> a l E l w E N
palelwe	p> a l E l w E
paletsweng	p> a l E ts> w E N
paletswe	p> a l E ts> w E
palogareng	p> a l O x a r E N
palogare	p> a l O x a r E
palogotlhe	p> a l O x O tlh E
palokgolo	p> a l O kx O l O
palong	p> a l O N
palonyana	p> a l O J a n a
palopotlana	p> a l O p> O tl> a n a
palotlase	p> a l O tl> a s E
palotlotlo	p> a l O tl> O tl> O
paloyotlhe	p> a l O j O tlh E
pampiring	p> a m p> i r i N
pampiri	p> a m p> i r i
pampiritshweu	p> a m p> i r i tsh w E u
pampitshana	p> a m p> i tsh a n a
panyeleditsweng	p> a J E l E d i ts> w E N
panyeletsa	p> a J E l E ts> a
papatsong	p> a p> a ts> O N
papatso	p> a p> a ts> O
papetlana	p> a p> E tl> a n a
papetla	p> a p> E tl> a
papisong	p> a p> i s O N
papiso	p> a p> i s O
paputla	p> a p> u tl> a
pasa	p> a s a
paseporoto	p> a s E p> O r O t> O
pataganngwa	p> a t> a x a n N w a
patagantsweng	p> a t> a x a n ts> w E N
patagantswe	p> a t> a x a n ts> w E
pataganya	p> a t> a x a J a
pataganye	p> a t> a x a J E
pata	p> a t> a
pateleditse	p> a t> E l E d i ts> E
pateleditsweng	p> a t> E l E d i ts> w E N
pateleditswe	p> a t> E l E d i ts> w E
patelediwang	p> a t> E l E d i w a N
patelediwa	p> a t> E l E d i w a
patelediwe	p> a t> E l E d i w E
patelelo	p> a t> E l E l O
patelesegang	p> a t> E l E s E x a N
patelesega	p> a t> E l E s E x a
patelesege	p> a t> E l E s E x E
patelesegile	p> a t> E l E s E x i l E
patelesego	p> a t> E l E s E x O
pateletsang	p> a t> E l E ts> a N
pateletsa	p> a t> E l E ts> a
pateletsega	p> a t> E l E ts> E x a
pateletsege	p> a t> E l E ts> E x E
pateletsegile	p> a t> E l E ts> E x i l E
pateletsego	p> a t> E l E ts> E x O
pateletse	p> a t> E l E ts> E
pateletso	p> a t> E l E ts> O
pateletswang	p> a t> E l E ts> w a N
pateletswa	p> a t> E l E ts> w a
paterone	p> a t> E r O n E
patika	p> a t> i k> a
patiwa	p> a t> i w a
patlame	p> a tl> a m E
patlelong	p> a tl> E l O N
patlisisong	p> a tl> i s i s O N
patlisiso	p> a tl> i s i s O
patlomaikutlo	p> a tl> O m a i k> u tl> O
patlong	p> a tl> O N
patlo	p> a tl> O
pato	p> a t> O
peba	p> E b a
pedi	p> E d i
peelano	p> E E l a n O
peeletsong	p> E E l E ts> O N
peeletso	p> E E l E ts> O
peelomabaka	p> E E l O m a b a k> a
peelo	p> E E l O
pegang	p> E x a N
pega	p> E x a
pegelong	p> E x E l O N
pegelo	p> E x E l O
pegilweng	p> E x i l w E N
pegilwe	p> E x i l w E
pegiwa	p> E x i w a
pegong	p> E x O N
pego	p> E x O
pegwa	p> E x w a
pegwe	p> E x w E
peiping	p> E i p> i N
peipi	p> E i p> i
peiso	p> E i s O
peita	p> E i t> a
pejana	p> E d0Z a n a
pelaelo	p> E l a E l O
pelafalo	p> E l a f a l O
pela	p> E l a
pelegi	p> E l E x i
pelegiso	p> E l E x i s O
pelegong	p> E l E x O N
pelego	p> E l E x O
peleng	p> E l E N
pelenyana	p> E l E J a n a
pele	p> E l E
peleta	p> E l E t> a
pelokgale	p> E l O kx a l E
pelong	p> E l O N
pelo	p> E l O
pelotelele	p> E l O t> E l E l E
pelwana	p> E l w a n a
pena	p> E n a
peneng	p> E n E N
pene	p> E n E
penta	p> E n t> a
pente	p> E n t> E
peomelao	p> E O m E l a O
peomolaong	p> E O m O l a O N
peomolao	p> E O m O l a O
peong	p> E O N
peo	p> E O
pepeneneng	p> E p> E n E n E N
pepentsha	p> E p> E n tsh a
pepetletso	p> E p> E tl> E ts> O
pereko	p> E r E k> O
peresente	p> E r E s E n t> E
pesalema	p> E s a l E m a
petelelo	p> E t> E l E l O
peterole	p> E t> E r O l E
peterolong	p> E t> E r O l O N
petlo	p> E tl> O
peto	p> E t> O
petse	p> E ts> E
petso	p> E ts> O
petula	p> E t> u l a
phaa	ph a a
phafana	ph a f a n a
phafaneng	ph a f a n E N
phage	ph a x E
phaila	ph a i l a
phailwa	ph a i l w a
phakang	ph a k> a N
phaka	ph a k> a
phakela	ph a k> E l a
phakelela	ph a k> E l E l a
phakeletse	ph a k> E l E ts> E
phalalo	ph a l a l O
phalang	ph a l a N
phala	ph a l a
phaletšhe	ph a l E tSh E
phalolong	ph a l O l O N
phalolo	ph a l O l O
phaloso	ph a l O s O
phamola	ph a m O l a
phaneleng	ph a n E l E N
phanele	ph a n E l E
phanya	ph a J a
phanyega	ph a J E x a
phanyegileng	ph a J E x i l E N
phanyegile	ph a J E x i l E
phapaano	ph a p> a n O
phapang	ph a p> a N
pha	ph a
phaphame	ph a ph a m E
phaphamisa	ph a ph a m i s a
phaphaselela	ph a ph a s E l E l a
phapogo	ph a p> O x O
phaposiboapelong	ph a p> O s i b O a p> E l O N
phaposiborutelong	ph a p> O s i b O r u t> E l O N
phaposiborutelo	ph a p> O s i b O r u t> E l O
phaposikgaso	ph a p> O s i kx a s O
phaposikgwebo	ph a p> O s i kx w E b O
phaposing	ph a p> O s i N
phaposi	ph a p> O s i
phaposong	ph a p> O s O N
phaposo	ph a p> O s O
pharakanong	ph a r a k> a n O N
pharakano	ph a r a k> a n O
pharama	ph a r a m a
phara	ph a r a
pharologanong	ph a r O l O x a n O N
pharologano	ph a r O l O x a n O
pharologantsho	ph a r O l O x a n tsh O
pharologanyo	ph a r O l O x a J O
pharuma	ph a r u m a
pharwa	ph a r w a
phasaladitseng	ph a s a l a d i ts> E N
phasaladitsweng	ph a s a l a d i ts> w E N
phasaladitswe	ph a s a l a d i ts> w E
phasaladiwang	ph a s a l a d i w a N
phasaladiwa	ph a s a l a d i w a
phasaladiwe	ph a s a l a d i w E
phasalala	ph a s a l a l a
phasalalo	ph a s a l a l O
phasalatsang	ph a s a l a ts> a N
phasalatsa	ph a s a l a ts> a
phasalatse	ph a s a l a ts> E
phasalatsong	ph a s a l a ts> O N
phasalatso	ph a s a l a ts> O
phasalatswa	ph a s a l a ts> w a
phasepoto	ph a s E p> O t> O
phate	ph a t> E
phatlaladitswe	ph a tl> a l a d i ts> w E
phatlaladiwa	ph a tl> a l a d i w a
phatlalala	ph a tl> a l a l a
phatlalatsang	ph a tl> a l a ts> a N
phatlalatsa	ph a tl> a l a ts> a
phatlalatseng	ph a tl> a l a ts> E N
